,locus,start,end,nbps,nsnps,gene_tree
24,24,0,100000,100000,7175,"((r5:0.017633,r4:0.013929):0.00232,(r2:0.008615,(r0:0.011663,r1:0.012138):0.004227):0.001723,(r6:0.009561,(r3:0.010507,r7:0.00761):0.002648):0.002927);"
25,25,0,100000,100000,7485,"((r1:0.015853,r0:0.017713):0.004993,((r6:0.003844,r7:0.004667):0.010072,r3:0.012699):0.003509,((r4:0.009798,r5:0.01425):0.009316,r2:0.00709):0.005699);"
26,26,0,100000,100000,6746,"(((r7:0.006709,r6:0.010165):0.002837,(r5:0.014645,r4:0.011186):0.004893):0.001661,(r0:0.012617,r1:0.015175):0.004814,(r2:0.008016,r3:0.007399):0.001851);"
27,27,0,100000,100000,7419,"(r3:0.00901,(r0:0.011215,r1:0.017303):0.007077,((r2:0.011262,r6:0.006499):0.002667,((r5:0.017386,r4:0.015271):0.004296,r7:0.01124):0.002617):0.002448);"
28,28,0,100000,100000,7614,"(((((r5:0.011808,r4:0.012227):0.007993,(r7:0.006584,r2:0.011086):0.002655):0.001853,r6:0.009241):0.002083,r3:0.011248):0.007917,r1:0.015531,r0:0.014756);"
29,29,0,100000,100000,7406,"((r6:0.006547,r3:0.008756):0.004137,r5:0.018397,((r2:0.013765,r7:0.00855):0.002933,((r0:0.014582,r1:0.013066):0.004171,r4:0.013626):0.0016):0.002213);"
30,30,0,100000,100000,7645,"((r5:0.013397,r4:0.012973):0.003869,r6:0.012084,((r3:0.009352,(r7:0.012031,(r0:0.012025,r1:0.012752):0.007026):0.003541):0.002615,r2:0.010531):0.003752);"
31,31,0,100000,100000,6783,"((r0:0.012122,r1:0.013607):0.004895,(((r7:0.006678,r6:0.006097):0.002279,r2:0.005645):0.003449,r3:0.011394):0.001805,(r4:0.012238,r5:0.012002):0.007901);"
32,32,0,100000,100000,7109,"((r6:0.010658,(r4:0.01434,r5:0.018391):0.004984):0.003247,(r7:0.006691,(r3:0.00853,r2:0.00351):0.004239):0.002446,(r1:0.013607,r0:0.011124):0.012327);"
33,33,0,100000,100000,7058,"(((r3:0.009936,(r4:0.011758,r5:0.012647):0.004518):0.001335,(r0:0.013764,(r6:0.007297,r7:0.009738):0.002929):0.004132):0.001919,r2:0.00602,r1:0.014662);"
34,34,0,100000,100000,7910,"(((r0:0.013895,r1:0.017601):0.005744,((r6:0.010802,r3:0.008088):0.003124,r7:0.007017):0.004709):0.00583,r2:0.011194,(r5:0.014927,r4:0.015384):0.004581);"
35,35,0,100000,100000,7720,"(((r4:0.013457,r5:0.016379):0.008879,(r6:0.011011,(r7:0.006622,r3:0.005116):0.004063):0.004792):0.003013,(r1:0.014937,r0:0.016738):0.003502,r2:0.010508);"
36,36,0,100000,100000,6709,"((r2:0.004859,r3:0.005348):0.0018,r7:0.01011,(((r1:0.012917,r0:0.011622):0.006494,r6:0.007249):0.003292,(r5:0.014757,r4:0.014434):0.005566):0.002703);"
37,37,0,100000,100000,7480,"((r7:0.009389,r2:0.012221):0.003466,(r0:0.016096,r1:0.014456):0.005848,((r5:0.014724,r4:0.01547):0.00355,(r6:0.009443,r3:0.006912):0.002561):0.002241);"
38,38,0,100000,100000,7913,"(r7:0.016787,((r5:0.014509,r4:0.015248):0.003937,((r2:0.011519,(r0:0.017062,r1:0.015407):0.004076):0.004411,r6:0.010779):0.002937):0.004909,r3:0.009019);"
39,39,0,100000,100000,7010,"(r7:0.005558,((r4:0.010881,r5:0.012339):0.005125,(r6:0.008457,((r1:0.012489,r0:0.010522):0.006863,r3:0.009488):0.00254):0.001799):0.002974,r2:0.0109);"
40,40,0,100000,100000,6738,"(r7:0.004928,r6:0.006178,(((r2:0.010612,(r4:0.013573,r5:0.010752):0.004792):0.002247,(r0:0.01353,r1:0.012447):0.006647):0.002429,r3:0.008407):0.003729);"
41,41,0,100000,100000,7146,"(r0:0.011392,((((r5:0.013234,r4:0.014356):0.002727,r6:0.009588):0.003438,r7:0.010936):0.004195,(r2:0.010426,r3:0.010012):0.001711):0.004805,r1:0.013925);"
42,42,0,100000,100000,7882,"((((r2:0.014678,r6:0.010266):0.005284,r3:0.008952):0.003608,(r0:0.014423,r1:0.015935):0.007377):0.003038,(r5:0.016383,r4:0.01869):0.003466,r7:0.007867);"
43,43,0,100000,100000,7757,"(r3:0.006885,(r7:0.009569,((r0:0.015114,r1:0.013193):0.007661,((r4:0.014188,r5:0.016295):0.005893,r6:0.010566):0.004516):0.001909):0.003718,r2:0.009689);"
44,44,0,100000,100000,7669,"((r3:0.010757,r0:0.016571):0.003156,((r5:0.016264,r4:0.013656):0.006818,(r1:0.015434,r6:0.009701):0.003593):0.003975,(r7:0.011234,r2:0.01098):0.002991);"
45,45,0,100000,100000,7854,"((r2:0.013105,(r0:0.013776,r1:0.01886):0.006192):0.002525,(r7:0.010875,r3:0.009981):0.004594,((r4:0.012782,r5:0.014529):0.003399,r6:0.011915):0.004295);"
46,46,0,100000,100000,7269,"((r1:0.013544,r0:0.014265):0.003683,(r3:0.010041,(r5:0.012941,r4:0.015437):0.004969):0.003327,((r7:0.008405,r6:0.005049):0.003689,r2:0.00946):0.001366);"
47,47,0,100000,100000,6563,"((((r4:0.015643,r2:0.007446):0.002593,(r3:0.005908,r7:0.008699):0.001577):0.002322,r5:0.012966):0.001857,r1:0.016335,(r0:0.012446,r6:0.008712):0.002424);"
48,48,0,100000,100000,7620,"(r6:0.015151,((r5:0.018986,(r7:0.012185,((r1:0.016054,r3:0.009602):0.004616,r0:0.017073):0.004469):0.003341):0.002068,r4:0.014764):0.002847,r2:0.006852);"
49,49,0,100000,100000,7198,"(r3:0.012388,(r1:0.019058,(((r4:0.013397,r5:0.01207):0.004743,r2:0.008682):0.003764,(r6:0.002965,r7:0.004787):0.007427):0.002654):0.003592,r0:0.016132);"
50,50,0,100000,100000,7584,"(r6:0.007493,(r0:0.01755,r1:0.014792):0.005953,(r2:0.014651,((r3:0.009459,(r4:0.01397,r5:0.016455):0.004039):0.002061,r7:0.00838):0.003072):0.001703);"
51,51,0,100000,100000,7577,"((r1:0.018471,(r3:0.00702,(r6:0.00873,(r4:0.013983,r5:0.016049):0.004456):0.003589):0.002177):0.002442,r7:0.01024,(r0:0.01704,r2:0.011574):0.003406);"
52,52,0,100000,100000,6922,"((r2:0.005177,r6:0.004353):0.004506,((r0:0.012192,r1:0.014766):0.006792,((r5:0.012923,r7:0.008192):0.005152,r4:0.014137):0.003982):0.002915,r3:0.007957);"
53,53,0,100000,100000,7165,"(r0:0.012042,(((((r4:0.011164,r5:0.012311):0.006786,r7:0.01177):0.004477,r1:0.015952):0.002035,r6:0.006409):0.002422,r3:0.009177):0.003339,r2:0.009964);"
54,54,0,100000,100000,7234,"((r6:0.008112,(r4:0.014955,r3:0.010931):0.003345):0.001409,r7:0.009997,((r5:0.016689,(r0:0.012766,r1:0.013056):0.006267):0.001684,r2:0.009982):0.00278);"
