,locus,start,end,nbps,nsnps,gene_tree
24,24,0,100000,100000,11745,"(r0:0.017939,r1:0.018896,(((r4:0.015273,r5:0.016102):0.005861,(r6:0.021306,r7:0.021768):0.002979):0.000969,(r3:0.021849,r2:0.019057):0.001891):0.005088);"
25,25,0,100000,100000,11610,"((((r5:0.01779,r4:0.017167):0.003334,r6:0.018972):0.000756,(r7:0.019126,(r3:0.022217,r2:0.020035):0.002644):0.000964):0.00318,r1:0.01637,r0:0.015248);"
26,26,0,100000,100000,11824,"(((r0:0.017567,r1:0.018718):0.006025,(r6:0.021297,(r3:0.02106,r2:0.019983):0.001969):0.002079):0.00233,(r5:0.014287,r4:0.014369):0.007891,r7:0.020125);"
27,27,0,100000,100000,11981,"(((r0:0.018045,r1:0.017782):0.00437,r3:0.018992):0.002556,((r4:0.014649,r5:0.014181):0.007336,(r2:0.021707,r6:0.017524):0.002801):0.001976,r7:0.022975);"
28,28,0,100000,100000,11940,"(r0:0.018704,r1:0.016085,(((r3:0.02293,(r5:0.018301,r4:0.016288):0.004544):0.001424,r2:0.022999):0.001364,(r7:0.019353,r6:0.02199):0.003646):0.00626);"
29,29,0,100000,100000,11421,"(r6:0.02009,((r5:0.014215,r4:0.016249):0.005283,r3:0.020464):0.001336,((r0:0.014722,r1:0.014157):0.007684,(r7:0.020511,r2:0.018873):0.002962):0.001221);"
30,30,0,100000,100000,12438,"((r1:0.018626,r0:0.018051):0.005413,((r5:0.019524,r4:0.018385):0.004296,((r7:0.02114,r3:0.021262):0.002485,r2:0.026837):0.001754):0.00289,r6:0.023318);"
31,31,0,100000,100000,11977,"((((r7:0.020302,r6:0.021333):0.002793,(r2:0.024796,r3:0.019716):0.003623):0.000753,(r1:0.018591,r0:0.01639):0.005775):0.003312,r5:0.015679,r4:0.01839);"
32,32,0,100000,100000,12046,"((r2:0.02176,(r4:0.016341,r5:0.017165):0.004986):0.002287,(r0:0.01674,r1:0.016567):0.004767,((r6:0.022137,r7:0.019795):0.00264,r3:0.023322):0.002202);"
33,33,0,100000,100000,11819,"(r0:0.016701,r1:0.017692,((((r4:0.017426,r5:0.020423):0.00494,(r2:0.020818,r6:0.021417):0.002604):0.002412,r7:0.022388):0.002294,r3:0.018862):0.004231);"
