1 10000000.0 2 13.708063916759569 3737.0 1  0 0 (r5:0.003635,(r7:0.004415,r6:0.003798):0.000668,((r4:0.002139,r3:0.001993):0.000513,((r0:0.00234,r1:0.002395):0.000763,r2:0.002579):0.000528):0.000262); 1.8112781244591325 0.12857142857142856
1 10000000.0 30 13.700965107646622 3626.0 1  0 0 ((r2:0.002709,(r1:0.00231,r0:0.002277):0.000772):0.000498,r4:0.002288,((r5:0.003391,r3:0.002155):0.000613,(r6:0.003729,r7:0.004391):0.000629):0.000418); 2.6681222459933007 0.24285714285714288
1 10000000.0 31 13.557686654908878 3656.0 1  0 0 ((((r1:0.002325,r0:0.002259):0.000759,r2:0.002828):0.000394,(r3:0.002121,r4:0.001998):0.000482):0.000281,r5:0.003704,(r7:0.004404,r6:0.003929):0.0006); 1.8112781244591316 0.12857142857142856
1 10000000.0 32 13.59513611615245 3696.0 1  0 0 (((r4:0.00222,r3:0.002085):0.000516,((r6:0.003879,r7:0.004475):0.000724,r5:0.003688):0.000354):0.00056,(r0:0.002339,r1:0.002256):0.00082,r2:0.002641); 1.8112781244591316 0.12857142857142856
1 10000000.0 33 13.672220210068815 3747.0 1  0 0 ((r7:0.004481,r6:0.00396):0.000711,(r5:0.003815,(r4:0.002128,r3:0.002259):0.000483):0.000256,(r2:0.00279,(r0:0.002532,r1:0.002512):0.000754):0.000402); 3.2136882430683347 0.30000000000000004
1 10000000.0 34 13.57601239212215 3661.0 1  0 0 ((r2:0.002664,(r1:0.002313,r0:0.002294):0.000773):0.000456,(r5:0.003385,r4:0.002001):0.000459,(r3:0.00217,(r7:0.004437,r6:0.003803):0.000807):0.000406); 2.7798538696909363 0.2857142857142857
1 10000000.0 35 13.68793803024714 3606.0 1  0 0 (r3:0.002041,((r7:0.004487,r6:0.003739):0.00068,((r2:0.002705,(r0:0.002343,r1:0.002242):0.000789):0.000504,r4:0.002325):0.000397):0.000545,r5:0.003543); 2.6681222459933007 0.24285714285714288
1 10000000.0 36 13.994570472294534 3574.0 1  0 0 ((r5:0.003711,(r6:0.003968,r7:0.004573):0.0008):0.000339,(r4:0.002241,r3:0.00216):0.000533,(r2:0.002909,(r0:0.002291,r1:0.002338):0.000778):0.000431); 1.8112781244591325 0.12857142857142856
1 10000000.0 37 13.661447281773615 3667.0 1  0 0 (r3:0.002138,r5:0.003536,(((r1:0.002452,r0:0.002289):0.000823,r2:0.002751):0.000396,((r7:0.004484,r6:0.003784):0.00072,r4:0.002411):0.000306):0.000532); 2.5911319941500697 0.24285714285714288
1 10000000.0 38 13.757968865826538 3572.0 1  0 0 ((r6:0.003965,r7:0.004384):0.000677,(r3:0.002143,r4:0.002088):0.000533,(r5:0.003796,(r2:0.002631,(r1:0.002306,r0:0.002265):0.000709):0.000492):0.000341); 2.979400370452434 0.30000000000000004
