1000 100000.0 20 13.184963250757972 91.052 807 (r5:1,(r4:1,((r6:1,r7:1)1:0.135960485767,(r3:1,((r0:1,r1:1)1:0.147182010511,r2:1)1:0.115989564967)0.92:0.0437765296891)0.51:0.0142747275331):0); 0.19443359141936595 0.11428571428571432 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.355248817057,r2:1)1:0.295202789775)0.97:0.0527727705838)0.82:0.0377283208314)1:0.292691601012):0); 0.0 0.0
1000 100000.0 21 13.173680143129811 90.776 827 (r6:1,(r7:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.142678278665)1:0.129330154558)0.37:0.00283451627881,r4:1)0.57:0.0169383516346)1:0.147876696194):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,((r6:1,r7:1)1:0.278335280731,r5:1)0.49:0.0167478573012)0.63:0.0201823197499)1:0.303034079009)1:0.315436310094):0); 0.0 0.0
1000 100000.0 22 13.100574026554895 91.568 821 (r7:1,(r6:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.146140886003)1:0.137034023176)0.62:0.021372290141)0.59:0.0173194492002,r5:1)1:0.128946514664):0); 0.0 0.0 (r5:1,((r4:1,(r6:1,r7:1)1:0.269271179265)0.37:0.00293887971413,(r3:1,((r1:1,r0:1)1:0.269271179265,r2:1)1:0.321463062309)0.65:0.0244387320668):0); 0.17556643393915275 0.11428571428571432
1000 100000.0 23 13.20621590092691 91.086 818 (r1:1,(r0:1,(r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.108362018662)0.74:0.0297848517648)0.56:0.0154365481309)1:0.128690836476)1:0.154150679827):0); 0.0 0.0 (r3:1,(r4:1,((r2:1,(r1:1,r0:1)1:0.324101518016)1:0.355355706053,((r6:1,r7:1)1:0.274778667616,r5:1)0.5:0.0120604476925)0.69:0.0276857655956):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 24 13.200800220350168 91.263 827 (r4:1,(r3:1,((r5:1,(r2:1,(r0:1,r1:1)1:0.136819223476)1:0.156557419858)0.36:0.00187488336904,(r6:1,r7:1)1:0.123802929603)0.73:0.0305570525754):0); 0.3340250044126062 0.30000000000000004 (r7:1,(r6:1,((r5:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.298731908638)1:0.261796244003)0.87:0.0378363903851)0.47:0.0142747275331,r4:1)1:0.291485500118):0); 0.17556643393915275 0.11428571428571432
1000 100000.0 25 13.217626826476844 90.446 821 (r5:1,((r7:1,r6:1)1:0.131336002061,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.144408083628)1:0.126775330942)0.62:0.0195029718976)0.74:0.0286276674506):0); 0.0 0.0 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.315847240858)1:0.330545776884)0.57:0.017128882263)0.93:0.0457353941745,(r6:1,r7:1)1:0.259511195485):0); 0.0 0.0
1000 100000.0 26 13.164517116794574 91.033 830 (r5:1,((r4:1,(r6:1,r7:1)1:0.15031190352)0.5:0.0123764733564,(r3:1,(r2:1,(r1:1,r0:1)1:0.0924571108219)1:0.149789573918)0.44:0.00735297430526):0); 0.17556643393915275 0.11428571428571432 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,((r6:1,r7:1)1:0.263403765601,r5:1)0.63:0.0207558786988)0.7:0.0252921929021)1:0.318883081518)1:0.320791626703):0); 0.0 0.0
1000 100000.0 27 13.260409528929499 90.744 823 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.154500391319)1:0.131037003703)0.81:0.0324901674245)0.51:0.0123764733564)1:0.154850225151):0); 0.0 0.0 (r4:1,(((r6:1,r7:1)1:0.281954252035,(r3:1,(r2:1,(r1:1,r0:1)1:0.324516025794)1:0.264965046168)0.98:0.058893478752)0.68:0.0243960781395,r5:1):0); 0.19443359141936595 0.11428571428571432
1000 100000.0 28 13.215641130033083 90.825 818 (r6:1,((r4:1,(r5:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.108696075788)1:0.149572017081)0.7:0.0246093659722)0.42:0.00670323574976)1:0.184681982766,r7:1):0); 0.17556643393915275 0.11428571428571432 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,((r7:1,r6:1)1:0.260288498284,r5:1)0.58:0.017128882263)0.82:0.0333505305507)1:0.296965792373)1:0.320791626703):0); 0.0 0.0
1000 100000.0 29 13.179834622283925 90.68 837 (r6:1,(r7:1,(r4:1,(r5:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.145794085236)1:0.139184561639)0.48:0.0107131925207)0.4:0.00670323574976)1:0.106693404892):0); 0.17556643393915275 0.11428571428571432 (r5:1,((r7:1,r6:1)1:0.254860024309,((r3:1,(r2:1,(r1:1,r0:1)1:0.283097194491)1:0.312718150613)0.96:0.050715092579,r4:1)0.63:0.0207558786988):0); 0.0 0.0
1000 100000.0 2 13.159250495098098 91.198 816 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.112378088316)1:0.126775330942)0.68:0.0232451092804)0.64:0.0247800289985,(r6:1,r7:1)1:0.135445596886):0); 0.0 0.0 (r1:1,((r2:1,((r4:1,r3:1)0.49:0.0108815001875,(r5:1,(r7:1,r6:1)1:0.238368758911)0.79:0.0304283110239)1:0.346487254881)1:0.284291224484,r0:1):0); 0.20410776171712283 0.12857142857142856
