qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.5206,0.236,0.2434,5000.0
2,r0,r1,r2,r4,0.5154,0.2414,0.2432,5000.0
3,r0,r1,r3,r4,0.5244,0.2392,0.2364,5000.0
4,r0,r2,r3,r4,0.3334,0.322,0.3446,5000.0
5,r1,r2,r3,r4,0.3398,0.3178,0.3424,5000.0
6,r0,r1,r2,r5,0.5136,0.2428,0.2436,5000.0
7,r0,r1,r3,r5,0.5248,0.2394,0.2358,5000.0
8,r0,r2,r3,r5,0.3282,0.3298,0.342,5000.0
9,r1,r2,r3,r5,0.336,0.3154,0.3486,5000.0
10,r0,r1,r4,r5,0.664,0.1706,0.1654,5000.0
11,r0,r2,r4,r5,0.5272,0.2376,0.2352,5000.0
12,r1,r2,r4,r5,0.5306,0.2314,0.238,5000.0
13,r0,r3,r4,r5,0.5164,0.2376,0.246,5000.0
14,r1,r3,r4,r5,0.5194,0.233,0.2476,5000.0
15,r2,r3,r4,r5,0.5286,0.2262,0.2452,5000.0
16,r0,r1,r2,r6,0.5142,0.2426,0.2432,5000.0
17,r0,r1,r3,r6,0.5214,0.2334,0.2452,5000.0
18,r0,r2,r3,r6,0.3364,0.3206,0.343,5000.0
19,r1,r2,r3,r6,0.3402,0.3178,0.342,5000.0
20,r0,r1,r4,r6,0.5286,0.2338,0.2376,5000.0
21,r0,r2,r4,r6,0.3556,0.3218,0.3226,5000.0
22,r1,r2,r4,r6,0.354,0.3206,0.3254,5000.0
23,r0,r3,r4,r6,0.3448,0.3216,0.3336,5000.0
24,r1,r3,r4,r6,0.348,0.3218,0.3302,5000.0
25,r2,r3,r4,r6,0.365,0.3126,0.3224,5000.0
26,r0,r1,r5,r6,0.5354,0.229,0.2356,5000.0
27,r0,r2,r5,r6,0.3578,0.3224,0.3198,5000.0
28,r1,r2,r5,r6,0.3556,0.3212,0.3232,5000.0
29,r0,r3,r5,r6,0.3508,0.3244,0.3248,5000.0
30,r1,r3,r5,r6,0.3466,0.326,0.3274,5000.0
31,r2,r3,r5,r6,0.361,0.3222,0.3168,5000.0
32,r0,r4,r5,r6,0.2516,0.2458,0.5026,5000.0
33,r1,r4,r5,r6,0.246,0.245,0.509,5000.0
34,r2,r4,r5,r6,0.2452,0.2476,0.5072,5000.0
35,r3,r4,r5,r6,0.253,0.245,0.502,5000.0
36,r0,r1,r2,r7,0.5194,0.2328,0.2478,5000.0
37,r0,r1,r3,r7,0.5294,0.225,0.2456,5000.0
38,r0,r2,r3,r7,0.3216,0.323,0.3554,5000.0
39,r1,r2,r3,r7,0.3344,0.3234,0.3422,5000.0
40,r0,r1,r4,r7,0.534,0.2212,0.2448,5000.0
41,r0,r2,r4,r7,0.3558,0.3194,0.3248,5000.0
42,r1,r2,r4,r7,0.3608,0.3248,0.3144,5000.0
43,r0,r3,r4,r7,0.3488,0.319,0.3322,5000.0
44,r1,r3,r4,r7,0.3498,0.324,0.3262,5000.0
45,r2,r3,r4,r7,0.3638,0.3126,0.3236,5000.0
46,r0,r1,r5,r7,0.5328,0.2214,0.2458,5000.0
47,r0,r2,r5,r7,0.3498,0.32,0.3302,5000.0
48,r1,r2,r5,r7,0.3598,0.3234,0.3168,5000.0
49,r0,r3,r5,r7,0.3472,0.3216,0.3312,5000.0
50,r1,r3,r5,r7,0.3494,0.3326,0.318,5000.0
51,r2,r3,r5,r7,0.363,0.3156,0.3214,5000.0
52,r0,r4,r5,r7,0.2402,0.2472,0.5126,5000.0
53,r1,r4,r5,r7,0.2418,0.2526,0.5056,5000.0
54,r2,r4,r5,r7,0.2358,0.2554,0.5088,5000.0
55,r3,r4,r5,r7,0.2508,0.2464,0.5028,5000.0
56,r0,r1,r6,r7,0.5378,0.223,0.2392,5000.0
57,r0,r2,r6,r7,0.3648,0.3168,0.3184,5000.0
58,r1,r2,r6,r7,0.3658,0.3256,0.3086,5000.0
59,r0,r3,r6,r7,0.36,0.3128,0.3272,5000.0
60,r1,r3,r6,r7,0.3632,0.3182,0.3186,5000.0
61,r2,r3,r6,r7,0.373,0.306,0.321,5000.0
62,r0,r4,r6,r7,0.344,0.3234,0.3326,5000.0
63,r1,r4,r6,r7,0.3414,0.334,0.3246,5000.0
64,r2,r4,r6,r7,0.34,0.3302,0.3298,5000.0
65,r3,r4,r6,r7,0.3546,0.3226,0.3228,5000.0
66,r0,r5,r6,r7,0.3418,0.323,0.3352,5000.0
67,r1,r5,r6,r7,0.3418,0.3354,0.3228,5000.0
68,r2,r5,r6,r7,0.3402,0.3308,0.329,5000.0
69,r3,r5,r6,r7,0.346,0.3238,0.3302,5000.0
70,r4,r5,r6,r7,0.5102,0.2412,0.2486,5000.0
