qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.5208,0.229,0.2502,5000.0
2,r0,r1,r2,r4,0.5162,0.245,0.2388,5000.0
3,r0,r1,r3,r4,0.526,0.2488,0.2252,5000.0
4,r0,r2,r3,r4,0.3342,0.3336,0.3322,5000.0
5,r1,r2,r3,r4,0.3332,0.324,0.3428,5000.0
6,r0,r1,r2,r5,0.5208,0.2382,0.241,5000.0
7,r0,r1,r3,r5,0.5192,0.2526,0.2282,5000.0
8,r0,r2,r3,r5,0.3336,0.3338,0.3326,5000.0
9,r1,r2,r3,r5,0.3374,0.319,0.3436,5000.0
10,r0,r1,r4,r5,0.6782,0.159,0.1628,5000.0
11,r0,r2,r4,r5,0.5536,0.2236,0.2228,5000.0
12,r1,r2,r4,r5,0.5622,0.2164,0.2214,5000.0
13,r0,r3,r4,r5,0.5476,0.2212,0.2312,5000.0
14,r1,r3,r4,r5,0.5472,0.221,0.2318,5000.0
15,r2,r3,r4,r5,0.5528,0.222,0.2252,5000.0
16,r0,r1,r2,r6,0.5224,0.2404,0.2372,5000.0
17,r0,r1,r3,r6,0.5268,0.2522,0.221,5000.0
18,r0,r2,r3,r6,0.3342,0.341,0.3248,5000.0
19,r1,r2,r3,r6,0.3354,0.3214,0.3432,5000.0
20,r0,r1,r4,r6,0.5474,0.2308,0.2218,5000.0
21,r0,r2,r4,r6,0.3668,0.32,0.3132,5000.0
22,r1,r2,r4,r6,0.3606,0.315,0.3244,5000.0
23,r0,r3,r4,r6,0.3656,0.317,0.3174,5000.0
24,r1,r3,r4,r6,0.352,0.3186,0.3294,5000.0
25,r2,r3,r4,r6,0.3634,0.3176,0.319,5000.0
26,r0,r1,r5,r6,0.5496,0.2276,0.2228,5000.0
27,r0,r2,r5,r6,0.3694,0.32,0.3106,5000.0
28,r1,r2,r5,r6,0.3708,0.313,0.3162,5000.0
29,r0,r3,r5,r6,0.3716,0.3164,0.312,5000.0
30,r1,r3,r5,r6,0.3518,0.3246,0.3236,5000.0
31,r2,r3,r5,r6,0.3668,0.318,0.3152,5000.0
32,r0,r4,r5,r6,0.2352,0.2338,0.531,5000.0
33,r1,r4,r5,r6,0.2304,0.233,0.5366,5000.0
34,r2,r4,r5,r6,0.2366,0.2284,0.535,5000.0
35,r3,r4,r5,r6,0.2356,0.226,0.5384,5000.0
36,r0,r1,r2,r7,0.5308,0.2238,0.2454,5000.0
37,r0,r1,r3,r7,0.5282,0.2372,0.2346,5000.0
38,r0,r2,r3,r7,0.3226,0.338,0.3394,5000.0
39,r1,r2,r3,r7,0.334,0.3296,0.3364,5000.0
40,r0,r1,r4,r7,0.5476,0.217,0.2354,5000.0
41,r0,r2,r4,r7,0.356,0.3226,0.3214,5000.0
42,r1,r2,r4,r7,0.3522,0.3318,0.316,5000.0
43,r0,r3,r4,r7,0.3586,0.3178,0.3236,5000.0
44,r1,r3,r4,r7,0.3522,0.3236,0.3242,5000.0
45,r2,r3,r4,r7,0.364,0.3098,0.3262,5000.0
46,r0,r1,r5,r7,0.5414,0.2248,0.2338,5000.0
47,r0,r2,r5,r7,0.3544,0.3218,0.3238,5000.0
48,r1,r2,r5,r7,0.354,0.3288,0.3172,5000.0
49,r0,r3,r5,r7,0.3558,0.3128,0.3314,5000.0
50,r1,r3,r5,r7,0.3414,0.3298,0.3288,5000.0
51,r2,r3,r5,r7,0.3576,0.3134,0.329,5000.0
52,r0,r4,r5,r7,0.2294,0.2344,0.5362,5000.0
53,r1,r4,r5,r7,0.2286,0.2374,0.534,5000.0
54,r2,r4,r5,r7,0.2314,0.231,0.5376,5000.0
55,r3,r4,r5,r7,0.2282,0.235,0.5368,5000.0
56,r0,r1,r6,r7,0.548,0.2128,0.2392,5000.0
57,r0,r2,r6,r7,0.3618,0.3158,0.3224,5000.0
58,r1,r2,r6,r7,0.3672,0.325,0.3078,5000.0
59,r0,r3,r6,r7,0.3642,0.3084,0.3274,5000.0
60,r1,r3,r6,r7,0.355,0.3248,0.3202,5000.0
61,r2,r3,r6,r7,0.3632,0.3142,0.3226,5000.0
62,r0,r4,r6,r7,0.3354,0.3182,0.3464,5000.0
63,r1,r4,r6,r7,0.3382,0.3346,0.3272,5000.0
64,r2,r4,r6,r7,0.3322,0.3284,0.3394,5000.0
65,r3,r4,r6,r7,0.3426,0.3238,0.3336,5000.0
66,r0,r5,r6,r7,0.3298,0.3224,0.3478,5000.0
67,r1,r5,r6,r7,0.335,0.3282,0.3368,5000.0
68,r2,r5,r6,r7,0.3306,0.328,0.3414,5000.0
69,r3,r5,r6,r7,0.339,0.3236,0.3374,5000.0
70,r4,r5,r6,r7,0.5412,0.2228,0.236,5000.0
