qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.5256,0.2294,0.245,5000.0
2,r0,r1,r2,r4,0.5124,0.244,0.2436,5000.0
3,r0,r1,r3,r4,0.5236,0.2428,0.2336,5000.0
4,r0,r2,r3,r4,0.324,0.326,0.35,5000.0
5,r1,r2,r3,r4,0.3314,0.317,0.3516,5000.0
6,r0,r1,r2,r5,0.5228,0.2332,0.244,5000.0
7,r0,r1,r3,r5,0.5184,0.243,0.2386,5000.0
8,r0,r2,r3,r5,0.3234,0.3334,0.3432,5000.0
9,r1,r2,r3,r5,0.3272,0.3302,0.3426,5000.0
10,r0,r1,r4,r5,0.6688,0.1624,0.1688,5000.0
11,r0,r2,r4,r5,0.5494,0.2346,0.216,5000.0
12,r1,r2,r4,r5,0.546,0.2342,0.2198,5000.0
13,r0,r3,r4,r5,0.5358,0.2322,0.232,5000.0
14,r1,r3,r4,r5,0.5292,0.2426,0.2282,5000.0
15,r2,r3,r4,r5,0.5562,0.2198,0.224,5000.0
16,r0,r1,r2,r6,0.5226,0.2372,0.2402,5000.0
17,r0,r1,r3,r6,0.5312,0.239,0.2298,5000.0
18,r0,r2,r3,r6,0.3238,0.3394,0.3368,5000.0
19,r1,r2,r3,r6,0.3318,0.3314,0.3368,5000.0
20,r0,r1,r4,r6,0.5332,0.2306,0.2362,5000.0
21,r0,r2,r4,r6,0.3578,0.331,0.3112,5000.0
22,r1,r2,r4,r6,0.364,0.326,0.31,5000.0
23,r0,r3,r4,r6,0.3614,0.3292,0.3094,5000.0
24,r1,r3,r4,r6,0.3568,0.3298,0.3134,5000.0
25,r2,r3,r4,r6,0.3764,0.308,0.3156,5000.0
26,r0,r1,r5,r6,0.543,0.2326,0.2244,5000.0
27,r0,r2,r5,r6,0.3612,0.3244,0.3144,5000.0
28,r1,r2,r5,r6,0.3618,0.3236,0.3146,5000.0
29,r0,r3,r5,r6,0.3556,0.3266,0.3178,5000.0
30,r1,r3,r5,r6,0.356,0.3262,0.3178,5000.0
31,r2,r3,r5,r6,0.3708,0.3088,0.3204,5000.0
32,r0,r4,r5,r6,0.2432,0.2394,0.5174,5000.0
33,r1,r4,r5,r6,0.2406,0.2388,0.5206,5000.0
34,r2,r4,r5,r6,0.2384,0.238,0.5236,5000.0
35,r3,r4,r5,r6,0.2334,0.2392,0.5274,5000.0
36,r0,r1,r2,r7,0.5266,0.2294,0.244,5000.0
37,r0,r1,r3,r7,0.5238,0.2396,0.2366,5000.0
38,r0,r2,r3,r7,0.3082,0.3384,0.3534,5000.0
39,r1,r2,r3,r7,0.3218,0.3288,0.3494,5000.0
40,r0,r1,r4,r7,0.5412,0.224,0.2348,5000.0
41,r0,r2,r4,r7,0.3582,0.3284,0.3134,5000.0
42,r1,r2,r4,r7,0.3606,0.3326,0.3068,5000.0
43,r0,r3,r4,r7,0.3612,0.3142,0.3246,5000.0
44,r1,r3,r4,r7,0.3596,0.3152,0.3252,5000.0
45,r2,r3,r4,r7,0.3772,0.2996,0.3232,5000.0
46,r0,r1,r5,r7,0.539,0.233,0.228,5000.0
47,r0,r2,r5,r7,0.3536,0.3238,0.3226,5000.0
48,r1,r2,r5,r7,0.3616,0.3238,0.3146,5000.0
49,r0,r3,r5,r7,0.3574,0.3166,0.326,5000.0
50,r1,r3,r5,r7,0.353,0.3192,0.3278,5000.0
51,r2,r3,r5,r7,0.3688,0.3074,0.3238,5000.0
52,r0,r4,r5,r7,0.2354,0.239,0.5256,5000.0
53,r1,r4,r5,r7,0.242,0.2382,0.5198,5000.0
54,r2,r4,r5,r7,0.2286,0.2424,0.529,5000.0
55,r3,r4,r5,r7,0.2408,0.2456,0.5136,5000.0
56,r0,r1,r6,r7,0.5558,0.2188,0.2254,5000.0
57,r0,r2,r6,r7,0.3744,0.3064,0.3192,5000.0
58,r1,r2,r6,r7,0.3756,0.3126,0.3118,5000.0
59,r0,r3,r6,r7,0.378,0.2968,0.3252,5000.0
60,r1,r3,r6,r7,0.377,0.302,0.321,5000.0
61,r2,r3,r6,r7,0.3832,0.3038,0.313,5000.0
62,r0,r4,r6,r7,0.348,0.3166,0.3354,5000.0
63,r1,r4,r6,r7,0.3526,0.318,0.3294,5000.0
64,r2,r4,r6,r7,0.336,0.3296,0.3344,5000.0
65,r3,r4,r6,r7,0.3466,0.329,0.3244,5000.0
66,r0,r5,r6,r7,0.348,0.3198,0.3322,5000.0
67,r1,r5,r6,r7,0.3454,0.3216,0.333,5000.0
68,r2,r5,r6,r7,0.3402,0.3254,0.3344,5000.0
69,r3,r5,r6,r7,0.3492,0.3234,0.3274,5000.0
70,r4,r5,r6,r7,0.5258,0.2384,0.2358,5000.0
