qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.4304,0.2788,0.2908,5000.0
2,r0,r1,r2,r4,0.4286,0.2788,0.2926,5000.0
3,r0,r1,r3,r4,0.5036,0.2444,0.252,5000.0
4,r0,r2,r3,r4,0.4256,0.2812,0.2932,5000.0
5,r1,r2,r3,r4,0.4358,0.2778,0.2864,5000.0
6,r0,r1,r2,r5,0.4366,0.2806,0.2828,5000.0
7,r0,r1,r3,r5,0.5014,0.25,0.2486,5000.0
8,r0,r2,r3,r5,0.4168,0.299,0.2842,5000.0
9,r1,r2,r3,r5,0.423,0.2926,0.2844,5000.0
10,r0,r1,r4,r5,0.5076,0.2462,0.2462,5000.0
11,r0,r2,r4,r5,0.4138,0.2966,0.2896,5000.0
12,r1,r2,r4,r5,0.4206,0.2924,0.287,5000.0
13,r0,r3,r4,r5,0.338,0.329,0.333,5000.0
14,r1,r3,r4,r5,0.3352,0.3274,0.3374,5000.0
15,r2,r3,r4,r5,0.3304,0.3256,0.344,5000.0
16,r0,r1,r2,r6,0.4308,0.28,0.2892,5000.0
17,r0,r1,r3,r6,0.5078,0.2448,0.2474,5000.0
18,r0,r2,r3,r6,0.4226,0.2844,0.293,5000.0
19,r1,r2,r3,r6,0.4238,0.2808,0.2954,5000.0
20,r0,r1,r4,r6,0.4982,0.2524,0.2494,5000.0
21,r0,r2,r4,r6,0.4166,0.2878,0.2956,5000.0
22,r1,r2,r4,r6,0.427,0.2798,0.2932,5000.0
23,r0,r3,r4,r6,0.3148,0.3336,0.3516,5000.0
24,r1,r3,r4,r6,0.322,0.3274,0.3506,5000.0
25,r2,r3,r4,r6,0.3264,0.3346,0.339,5000.0
26,r0,r1,r5,r6,0.5138,0.24,0.2462,5000.0
27,r0,r2,r5,r6,0.42,0.2778,0.3022,5000.0
28,r1,r2,r5,r6,0.4234,0.2796,0.297,5000.0
29,r0,r3,r5,r6,0.3352,0.3312,0.3336,5000.0
30,r1,r3,r5,r6,0.3352,0.329,0.3358,5000.0
31,r2,r3,r5,r6,0.3306,0.34,0.3294,5000.0
32,r0,r4,r5,r6,0.3378,0.3228,0.3394,5000.0
33,r1,r4,r5,r6,0.339,0.3214,0.3396,5000.0
34,r2,r4,r5,r6,0.3342,0.3336,0.3322,5000.0
35,r3,r4,r5,r6,0.349,0.321,0.33,5000.0
36,r0,r1,r2,r7,0.4302,0.2808,0.289,5000.0
37,r0,r1,r3,r7,0.4992,0.246,0.2548,5000.0
38,r0,r2,r3,r7,0.4174,0.2882,0.2944,5000.0
39,r1,r2,r3,r7,0.4186,0.2894,0.292,5000.0
40,r0,r1,r4,r7,0.5068,0.2418,0.2514,5000.0
41,r0,r2,r4,r7,0.4198,0.2894,0.2908,5000.0
42,r1,r2,r4,r7,0.4306,0.2916,0.2778,5000.0
43,r0,r3,r4,r7,0.32,0.3296,0.3504,5000.0
44,r1,r3,r4,r7,0.3304,0.3262,0.3434,5000.0
45,r2,r3,r4,r7,0.3384,0.321,0.3406,5000.0
46,r0,r1,r5,r7,0.515,0.241,0.244,5000.0
47,r0,r2,r5,r7,0.4206,0.2846,0.2948,5000.0
48,r1,r2,r5,r7,0.4268,0.2824,0.2908,5000.0
49,r0,r3,r5,r7,0.3378,0.328,0.3342,5000.0
50,r1,r3,r5,r7,0.341,0.3258,0.3332,5000.0
51,r2,r3,r5,r7,0.336,0.3346,0.3294,5000.0
52,r0,r4,r5,r7,0.338,0.3308,0.3312,5000.0
53,r1,r4,r5,r7,0.3386,0.3308,0.3306,5000.0
54,r2,r4,r5,r7,0.3334,0.3382,0.3284,5000.0
55,r3,r4,r5,r7,0.3558,0.3226,0.3216,5000.0
56,r0,r1,r6,r7,0.578,0.2062,0.2158,5000.0
57,r0,r2,r6,r7,0.4978,0.2536,0.2486,5000.0
58,r1,r2,r6,r7,0.4974,0.2612,0.2414,5000.0
59,r0,r3,r6,r7,0.4164,0.2854,0.2982,5000.0
60,r1,r3,r6,r7,0.4224,0.2892,0.2884,5000.0
61,r2,r3,r6,r7,0.424,0.2824,0.2936,5000.0
62,r0,r4,r6,r7,0.4214,0.292,0.2866,5000.0
63,r1,r4,r6,r7,0.4216,0.2994,0.279,5000.0
64,r2,r4,r6,r7,0.4262,0.29,0.2838,5000.0
65,r3,r4,r6,r7,0.438,0.2872,0.2748,5000.0
66,r0,r5,r6,r7,0.4224,0.2906,0.287,5000.0
67,r1,r5,r6,r7,0.4168,0.2962,0.287,5000.0
68,r2,r5,r6,r7,0.4284,0.285,0.2866,5000.0
69,r3,r5,r6,r7,0.4258,0.2922,0.282,5000.0
70,r4,r5,r6,r7,0.4276,0.2832,0.2892,5000.0
