qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.4232,0.2976,0.2792,5000.0
2,r0,r1,r2,r4,0.4256,0.2852,0.2892,5000.0
3,r0,r1,r3,r4,0.4982,0.2484,0.2534,5000.0
4,r0,r2,r3,r4,0.4188,0.2886,0.2926,5000.0
5,r1,r2,r3,r4,0.4132,0.2926,0.2942,5000.0
6,r0,r1,r2,r5,0.432,0.29,0.278,5000.0
7,r0,r1,r3,r5,0.5038,0.2454,0.2508,5000.0
8,r0,r2,r3,r5,0.429,0.295,0.276,5000.0
9,r1,r2,r3,r5,0.419,0.3028,0.2782,5000.0
10,r0,r1,r4,r5,0.5044,0.2536,0.242,5000.0
11,r0,r2,r4,r5,0.4228,0.293,0.2842,5000.0
12,r1,r2,r4,r5,0.4188,0.2918,0.2894,5000.0
13,r0,r3,r4,r5,0.3456,0.3364,0.318,5000.0
14,r1,r3,r4,r5,0.342,0.337,0.321,5000.0
15,r2,r3,r4,r5,0.3414,0.3318,0.3268,5000.0
16,r0,r1,r2,r6,0.4338,0.2842,0.282,5000.0
17,r0,r1,r3,r6,0.5016,0.2406,0.2578,5000.0
18,r0,r2,r3,r6,0.4204,0.2932,0.2864,5000.0
19,r1,r2,r3,r6,0.412,0.3024,0.2856,5000.0
20,r0,r1,r4,r6,0.5034,0.244,0.2526,5000.0
21,r0,r2,r4,r6,0.422,0.2954,0.2826,5000.0
22,r1,r2,r4,r6,0.4212,0.2954,0.2834,5000.0
23,r0,r3,r4,r6,0.3372,0.3284,0.3344,5000.0
24,r1,r3,r4,r6,0.3432,0.3314,0.3254,5000.0
25,r2,r3,r4,r6,0.3372,0.3268,0.336,5000.0
26,r0,r1,r5,r6,0.5124,0.232,0.2556,5000.0
27,r0,r2,r5,r6,0.4264,0.2764,0.2972,5000.0
28,r1,r2,r5,r6,0.4206,0.2868,0.2926,5000.0
29,r0,r3,r5,r6,0.3446,0.312,0.3434,5000.0
30,r1,r3,r5,r6,0.348,0.3222,0.3298,5000.0
31,r2,r3,r5,r6,0.3346,0.3282,0.3372,5000.0
32,r0,r4,r5,r6,0.343,0.3234,0.3336,5000.0
33,r1,r4,r5,r6,0.3362,0.3342,0.3296,5000.0
34,r2,r4,r5,r6,0.3296,0.3368,0.3336,5000.0
35,r3,r4,r5,r6,0.3322,0.341,0.3268,5000.0
36,r0,r1,r2,r7,0.4284,0.2802,0.2914,5000.0
37,r0,r1,r3,r7,0.4984,0.2418,0.2598,5000.0
38,r0,r2,r3,r7,0.4114,0.2972,0.2914,5000.0
39,r1,r2,r3,r7,0.4152,0.3,0.2848,5000.0
40,r0,r1,r4,r7,0.509,0.2396,0.2514,5000.0
41,r0,r2,r4,r7,0.4204,0.2922,0.2874,5000.0
42,r1,r2,r4,r7,0.4284,0.2896,0.282,5000.0
43,r0,r3,r4,r7,0.3382,0.3262,0.3356,5000.0
44,r1,r3,r4,r7,0.3448,0.3352,0.32,5000.0
45,r2,r3,r4,r7,0.3416,0.3276,0.3308,5000.0
46,r0,r1,r5,r7,0.5092,0.2364,0.2544,5000.0
47,r0,r2,r5,r7,0.4212,0.2742,0.3046,5000.0
48,r1,r2,r5,r7,0.4198,0.2828,0.2974,5000.0
49,r0,r3,r5,r7,0.3436,0.317,0.3394,5000.0
50,r1,r3,r5,r7,0.3512,0.3192,0.3296,5000.0
51,r2,r3,r5,r7,0.3302,0.335,0.3348,5000.0
52,r0,r4,r5,r7,0.3334,0.324,0.3426,5000.0
53,r1,r4,r5,r7,0.3342,0.3308,0.335,5000.0
54,r2,r4,r5,r7,0.3302,0.3364,0.3334,5000.0
55,r3,r4,r5,r7,0.3266,0.334,0.3394,5000.0
56,r0,r1,r6,r7,0.5782,0.21,0.2118,5000.0
57,r0,r2,r6,r7,0.501,0.2442,0.2548,5000.0
58,r1,r2,r6,r7,0.5026,0.243,0.2544,5000.0
59,r0,r3,r6,r7,0.4354,0.2804,0.2842,5000.0
60,r1,r3,r6,r7,0.44,0.2828,0.2772,5000.0
61,r2,r3,r6,r7,0.4258,0.2924,0.2818,5000.0
62,r0,r4,r6,r7,0.4292,0.2866,0.2842,5000.0
63,r1,r4,r6,r7,0.4312,0.2882,0.2806,5000.0
64,r2,r4,r6,r7,0.4234,0.2956,0.281,5000.0
65,r3,r4,r6,r7,0.4312,0.2786,0.2902,5000.0
66,r0,r5,r6,r7,0.4114,0.285,0.3036,5000.0
67,r1,r5,r6,r7,0.4226,0.2792,0.2982,5000.0
68,r2,r5,r6,r7,0.428,0.285,0.287,5000.0
69,r3,r5,r6,r7,0.4312,0.2734,0.2954,5000.0
70,r4,r5,r6,r7,0.4262,0.2806,0.2932,5000.0
