qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.4234,0.2896,0.287,5000.0
2,r0,r1,r2,r4,0.423,0.2888,0.2882,5000.0
3,r0,r1,r3,r4,0.4948,0.2546,0.2506,5000.0
4,r0,r2,r3,r4,0.408,0.304,0.288,5000.0
5,r1,r2,r3,r4,0.4102,0.302,0.2878,5000.0
6,r0,r1,r2,r5,0.423,0.2938,0.2832,5000.0
7,r0,r1,r3,r5,0.4974,0.2512,0.2514,5000.0
8,r0,r2,r3,r5,0.4224,0.2978,0.2798,5000.0
9,r1,r2,r3,r5,0.4222,0.29,0.2878,5000.0
10,r0,r1,r4,r5,0.5058,0.2478,0.2464,5000.0
11,r0,r2,r4,r5,0.4242,0.2832,0.2926,5000.0
12,r1,r2,r4,r5,0.4272,0.2788,0.294,5000.0
13,r0,r3,r4,r5,0.3512,0.3336,0.3152,5000.0
14,r1,r3,r4,r5,0.349,0.334,0.317,5000.0
15,r2,r3,r4,r5,0.3364,0.3428,0.3208,5000.0
16,r0,r1,r2,r6,0.419,0.2912,0.2898,5000.0
17,r0,r1,r3,r6,0.5008,0.2462,0.253,5000.0
18,r0,r2,r3,r6,0.4272,0.2828,0.29,5000.0
19,r1,r2,r3,r6,0.4248,0.282,0.2932,5000.0
20,r0,r1,r4,r6,0.5042,0.2546,0.2412,5000.0
21,r0,r2,r4,r6,0.4188,0.28,0.3012,5000.0
22,r1,r2,r4,r6,0.419,0.2754,0.3056,5000.0
23,r0,r3,r4,r6,0.3414,0.3336,0.325,5000.0
24,r1,r3,r4,r6,0.3416,0.3232,0.3352,5000.0
25,r2,r3,r4,r6,0.339,0.347,0.314,5000.0
26,r0,r1,r5,r6,0.5102,0.2448,0.245,5000.0
27,r0,r2,r5,r6,0.4336,0.277,0.2894,5000.0
28,r1,r2,r5,r6,0.4214,0.2834,0.2952,5000.0
29,r0,r3,r5,r6,0.3458,0.3204,0.3338,5000.0
30,r1,r3,r5,r6,0.338,0.322,0.34,5000.0
31,r2,r3,r5,r6,0.3388,0.3298,0.3314,5000.0
32,r0,r4,r5,r6,0.3344,0.327,0.3386,5000.0
33,r1,r4,r5,r6,0.3326,0.322,0.3454,5000.0
34,r2,r4,r5,r6,0.3462,0.3238,0.33,5000.0
35,r3,r4,r5,r6,0.3268,0.3344,0.3388,5000.0
36,r0,r1,r2,r7,0.4194,0.2936,0.287,5000.0
37,r0,r1,r3,r7,0.4982,0.251,0.2508,5000.0
38,r0,r2,r3,r7,0.4236,0.2876,0.2888,5000.0
39,r1,r2,r3,r7,0.4244,0.2882,0.2874,5000.0
40,r0,r1,r4,r7,0.5078,0.2448,0.2474,5000.0
41,r0,r2,r4,r7,0.424,0.2838,0.2922,5000.0
42,r1,r2,r4,r7,0.429,0.2808,0.2902,5000.0
43,r0,r3,r4,r7,0.3436,0.33,0.3264,5000.0
44,r1,r3,r4,r7,0.3432,0.329,0.3278,5000.0
45,r2,r3,r4,r7,0.3404,0.3368,0.3228,5000.0
46,r0,r1,r5,r7,0.5056,0.2466,0.2478,5000.0
47,r0,r2,r5,r7,0.4374,0.2734,0.2892,5000.0
48,r1,r2,r5,r7,0.4258,0.2868,0.2874,5000.0
49,r0,r3,r5,r7,0.343,0.3228,0.3342,5000.0
50,r1,r3,r5,r7,0.3392,0.3246,0.3362,5000.0
51,r2,r3,r5,r7,0.3372,0.3294,0.3334,5000.0
52,r0,r4,r5,r7,0.3286,0.3246,0.3468,5000.0
53,r1,r4,r5,r7,0.3314,0.3242,0.3444,5000.0
54,r2,r4,r5,r7,0.3382,0.3234,0.3384,5000.0
55,r3,r4,r5,r7,0.3218,0.3338,0.3444,5000.0
56,r0,r1,r6,r7,0.5706,0.2044,0.225,5000.0
57,r0,r2,r6,r7,0.5092,0.2384,0.2524,5000.0
58,r1,r2,r6,r7,0.504,0.2542,0.2418,5000.0
59,r0,r3,r6,r7,0.4254,0.2818,0.2928,5000.0
60,r1,r3,r6,r7,0.424,0.2972,0.2788,5000.0
61,r2,r3,r6,r7,0.4268,0.289,0.2842,5000.0
62,r0,r4,r6,r7,0.4228,0.2836,0.2936,5000.0
63,r1,r4,r6,r7,0.417,0.299,0.284,5000.0
64,r2,r4,r6,r7,0.4326,0.2858,0.2816,5000.0
65,r3,r4,r6,r7,0.4166,0.29,0.2934,5000.0
66,r0,r5,r6,r7,0.4184,0.2784,0.3032,5000.0
67,r1,r5,r6,r7,0.417,0.2916,0.2914,5000.0
68,r2,r5,r6,r7,0.4218,0.2832,0.295,5000.0
69,r3,r5,r6,r7,0.4254,0.2766,0.298,5000.0
70,r4,r5,r6,r7,0.4324,0.2822,0.2854,5000.0
