2000 10000.0 21 555.1455 23.012 1450 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.266029142852)1:0.213074475007)0.88:0.0274429346561)0.62:0.0157721548763)1:0.237298737179):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.259505605286,((r3:1,(r2:1,(r1:1,r0:1)1:0.273679162282)1:0.320254504878)0.85:0.0251160882153,r4:1)0.5:0.00851391009832):0); 0.0 0.0
2000 10000.0 22 551.995 22.97 1398 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.212147261217)1:0.213074475007)0.5:0.011897919994)0.75:0.0226496296874)1:0.212888963458):0); 0.0 0.0 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.276542112411)1:0.309910135139)0.56:0.016981009665)0.72:0.0214646098829)1:0.267206255214,r6:1):0); 0.0 0.0
2000 10000.0 23 553.9765 23.212 1465 (r3:1,((r2:1,(r0:1,r1:1)1:0.217723483845)1:0.245841107004,(r4:1,(r5:1,(r7:1,r6:1)1:0.18851762438)0.59:0.0125408272215)0.78:0.0212129166392):0); 0.0 0.0 (r7:1,(r6:1,(r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.247784597577)1:0.340230859785)0.94:0.0337553674679,r5:1)0.47:0.00970636638548)1:0.269746159197):0); 0.17556643393915275 0.11428571428571432
2000 10000.0 24 556.21 23.3485 1468 (r6:1,(r7:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.200354237128)1:0.212610760646)0.66:0.0162059048633)0.73:0.0196826944584,r5:1)1:0.199621770514):0); 0.0 0.0 (r4:1,((r5:1,(r7:1,r6:1)1:0.2553110203)0.89:0.0290493359552,(r3:1,((r0:1,r1:1)1:0.253747171324,r2:1)1:0.303276315038)0.84:0.0245853939192):0); 0.0 0.0
2000 10000.0 25 555.1265 23.266 1448 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.203289480475)0.66:0.0157721548763)0.83:0.0241950685532)1:0.219472449486)1:0.204208513717):0); 0.0 0.0 (r2:1,((r1:1,r0:1)1:0.267975537813,(r3:1,(r4:1,((r7:1,r6:1)1:0.239035493608,r5:1)0.99:0.0455879154742)0.87:0.0267858021184)1:0.319182242989):0); 0.0 0.0
2000 10000.0 26 554.081 23.3925 1455 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.230101736417)1:0.245841107004)0.6:0.0129942726233)0.71:0.0182502346805)1:0.236348798853):0); 0.0 0.0 (r5:1,((r7:1,r6:1)1:0.245474243347,(r4:1,(r3:1,((r0:1,r1:1)1:0.291999564976,r2:1)1:0.313067367553)0.81:0.0227532751632)0.9:0.0291851987373):0); 0.0 0.0
2000 10000.0 27 551.668 23.5435 1456 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.212518043572,r2:1)1:0.232392525851)0.53:0.00962471337421)0.92:0.0306369694619)1:0.173069140393):0); 0.0 0.0 (r7:1,(r6:1,(r5:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.273570738221)1:0.31547488808)0.86:0.0274431160415,r4:1)0.81:0.0250671500058)1:0.220660199773):0); 0.0 0.0
2000 10000.0 28 554.228 23.2025 1449 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.228781604212,r2:1)1:0.231211051234)0.83:0.0239391067754)0.56:0.011023807873)1:0.218655884845):0); 0.0 0.0 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.279607463461)1:0.328545907101)0.86:0.0260695020158)0.76:0.0222637222817,(r6:1,r7:1)1:0.280962223686):0); 0.0 0.0
2000 10000.0 29 552.647 23.1555 1466 (r7:1,(r6:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.215117376636)1:0.204760339354)0.65:0.0149369228394,r4:1)0.61:0.0211172091213)1:0.216791951407):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.279576759654,(r4:1,((r2:1,(r0:1,r1:1)1:0.277025131795)1:0.302194283731,r3:1)0.67:0.0161042222424)0.84:0.0246659253484):0); 0.0 0.0
2000 10000.0 2 555.421 23.562 1480 (r4:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.186708978563)1:0.220056118446)0.91:0.0303578887091,((r7:1,r6:1)1:0.209740521187,r5:1)0.81:0.0239924267432):0); 0.0 0.0 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.262299247075)1:0.283238594227)0.93:0.0317055157603)0.86:0.0262507318011)1:0.260141946574,r7:1):0); 0.0 0.0
2000 10000.0 30 550.354 23.158 1455 (r7:1,(r6:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.203289480475)1:0.177423526774)0.98:0.0399339442871,r4:1)0.43:0.00743008355891)1:0.218655884845):0); 0.0 0.0 (r2:1,((r1:1,r0:1)1:0.275458317763,(r3:1,((r5:1,(r7:1,r6:1)1:0.262354244478)0.61:0.0133730624788,r4:1)0.86:0.0263295632944)1:0.302556921276):0); 0.0 0.0
2000 10000.0 31 552.414 23.2585 1473 (r6:1,(r7:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.219589156028)1:0.189921578326)0.71:0.0184092955852,r4:1)0.74:0.0191094642908)1:0.227463212459):0); 0.0 0.0 (r6:1,(r7:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.282891644129)1:0.294031699292)1:0.0505832608805)0.6:0.0131924278422,r5:1)1:0.247672794986):0); 0.0 0.0
2000 10000.0 32 553.309 23.0875 1432 (r4:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.248384477619)1:0.213190437203)0.83:0.0242804037071,((r7:1,r6:1)1:0.230479237365,r5:1)0.6:0.0129204419171):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.274842881402)1:0.308387532447,r3:1)0.98:0.039115895675)0.9:0.0286662090108)1:0.246177442934):0); 0.0 0.0
2000 10000.0 33 554.5345 23.079 1474 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.190148207222)1:0.221692206225)0.89:0.0305296214933)0.41:0.00403737462182)1:0.220336400598):0); 0.0 0.0 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.23166898763)1:0.314056112867)0.85:0.0273130672253)0.96:0.0363118880481)1:0.236941583566,r6:1):0); 0.0 0.0
2000 10000.0 34 552.0945 23.1195 1442 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.226710625405)1:0.217956502604)0.87:0.0273573292115)0.71:0.022745483989)1:0.18851762438,r7:1):0); 0.0 0.0 (r4:1,((r5:1,(r6:1,r7:1)1:0.242010244892)0.77:0.0207290868185,((r2:1,(r1:1,r0:1)1:0.269338392165)1:0.350991891972,r3:1)0.69:0.0168629514869):0); 0.0 0.0
2000 10000.0 35 552.0995 23.1715 1455 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.215861285914,r2:1)1:0.218655884845)0.99:0.0442776223875)0.84:0.0250487479631)1:0.225394959395):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,((r4:1,(r5:1,(r7:1,r6:1)1:0.243718949031)0.81:0.023233914848)1:0.0559074224879,r3:1)1:0.293969819526)1:0.252466473288):0); 0.0 0.0
2000 10000.0 36 553.1755 23.289 1454 (r7:1,(r6:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.214931485754)1:0.209024246708)0.77:0.0206175519608)0.54:0.0100768381052,r5:1)1:0.245889035303):0); 0.0 0.0 (r4:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.260545373489)1:0.316315446805)0.86:0.0260978826881,(r5:1,(r7:1,r6:1)1:0.273121129041)0.76:0.0212763863983):0); 0.0 0.0
2000 10000.0 37 552.084 23.1485 1440 (r2:1,((r1:1,r0:1)1:0.194691604406,(r3:1,(r4:1,((r6:1,r7:1)1:0.21048043983,r5:1)0.48:0.00752448997862)0.92:0.0309590825264)1:0.217723483845):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.259950488286)1:0.304856380171)0.81:0.022945449545)0.95:0.0343786354021)1:0.2663686474):0); 0.0 0.0
2000 10000.0 38 553.8225 23.193 1459 (r4:1,((r5:1,(r6:1,r7:1)1:0.237298737179)0.77:0.0207344706227,(r3:1,(r2:1,(r1:1,r0:1)1:0.218282820114)1:0.199027036183)0.84:0.0247925676107):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.293602515213)1:0.264590075377)0.94:0.0330268838255)0.89:0.0285924791509)1:0.246924388681):0); 0.0 0.0
2000 10000.0 39 553.713 23.1675 1465 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.22426862175)0.92:0.0303471563893)0.54:0.0113080737583)1:0.224151367836)1:0.195785098227):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,((r1:1,r0:1)1:0.251135765606,r2:1)1:0.312892157592)0.97:0.0377553286954)0.51:0.0087518266783)1:0.243985562304):0); 0.0 0.0
2000 10000.0 3 554.5835 23.326 1427 (r5:1,((r6:1,r7:1)1:0.219402432099,(r4:1,(r3:1,((r1:1,r0:1)1:0.22727501259,r2:1)1:0.204875341367)0.94:0.0325066711767)0.66:0.0156769666415):0); 0.0 0.0 (r4:1,((r5:1,(r6:1,r7:1)1:0.264660615185)0.9:0.0293220063588,((r2:1,(r0:1,r1:1)1:0.278106894567)1:0.322701755818,r3:1)0.99:0.0422879122028):0); 0.0 0.0
2000 10000.0 40 553.256 23.261 1446 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.219962708516)1:0.208677846381,r3:1)0.9:0.0293281108785)0.95:0.0358680188794)1:0.189060856626):0); 0.0 0.0 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.267375297698)1:0.329648061518)0.71:0.0203962222899)0.94:0.0350509882861)1:0.254986187555,r7:1):0); 0.0 0.0
2000 10000.0 41 555.567 23.452 1476 (r7:1,(r6:1,(r5:1,(r3:1,(r4:1,((r0:1,r1:1)1:0.213816865538,r2:1)1:0.218073032348)0.42:0.00509374405188)0.64:0.0146304936354)1:0.214559807623):0); 0.1790338045715902 0.12857142857142856 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.279799766737)1:0.289127204807)0.73:0.0195789174553)0.97:0.037156868851)1:0.254684907111):0); 0.0 0.0
2000 10000.0 42 555.1195 23.27 1429 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.236538714342,r2:1)1:0.210179781849)0.98:0.0414954957452)0.62:0.0141551858647)1:0.192871767689):0); 0.0 0.0 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.238474915085)0.89:0.0284560401438)0.97:0.0383711494234)1:0.322947961938)1:0.290588905552,r0:1):0); 0.0 0.0
2000 10000.0 43 554.0505 23.2665 1471 (r4:1,((r2:1,(r1:1,r0:1)1:0.206233364846)1:0.209948567975,(r3:1,(r5:1,(r6:1,r7:1)1:0.228970087862)0.74:0.0193005045054)0.46:0.00643411452984):0); 0.1790338045715902 0.12857142857142856 (r4:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.256346372322)1:0.276079422172)0.97:0.0373102331355,(r5:1,(r7:1,r6:1)1:0.281775262466)0.54:0.010618453452):0); 0.0 0.0
2000 10000.0 44 555.042 23.305 1479 (r2:1,((r0:1,r1:1)1:0.227086848134,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.187974687076)0.61:0.0157721548763)0.98:0.0410614867978)1:0.192417325509):0); 0.0 0.0 (r3:1,((r2:1,(r0:1,r1:1)1:0.243165061993)1:0.31944896271,(r4:1,((r7:1,r6:1)1:0.23486612836,r5:1)0.74:0.0191416110929)0.93:0.0322467040546):0); 0.0 0.0
