2000 10000.0 21 448.4155 15.49 1530 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.207708563344,r2:1)1:0.193553818415)0.88:0.0278710718378)0.92:0.0308302248495)1:0.221832566952):0); 0.0 0.0 (r4:1,(r3:1,((r5:1,(r6:1,r7:1)1:0.204805803686)0.99:0.0481493438976,(r2:1,(r1:1,r0:1)1:0.234264443625)1:0.23103515806)0.67:0.022094563472):0); 0.20410776171712283 0.12857142857142856
2000 10000.0 22 447.2365 15.4895 1522 (r2:1,((r0:1,r1:1)1:0.204576363639,((r5:1,(r6:1,r7:1)1:0.216791951407)0.95:0.0340566585705,(r3:1,r4:1)0.52:0.0114765657553)1:0.228970087862):0); 0.20410776171712283 0.12857142857142856 (r2:1,((r1:1,r0:1)1:0.262023128481,((r5:1,(r7:1,r6:1)1:0.255813962522)0.75:0.0205340802448,(r4:1,r3:1)0.67:0.0174389338093)1:0.257900733429):0); 0.20410776171712283 0.12857142857142856
2000 10000.0 23 449.368 15.602 1566 (r6:1,(r7:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.198889840015)1:0.218422703079)0.95:0.0338843190612)0.81:0.0234167214884,r5:1)1:0.204208513717):0); 0.0 0.0 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.205296143628)1:0.236703887567)0.78:0.0217396785276)0.79:0.0230627537252)1:0.239342602791,r6:1):0); 0.0 0.0
2000 10000.0 24 450.361 15.697 1523 (r3:1,((r4:1,(r5:1,(r7:1,r6:1)1:0.208077703252)0.59:0.0125408272215)0.91:0.031560637995,(r2:1,(r0:1,r1:1)1:0.225582805737)1:0.216442850338):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.248746757334)1:0.226950323148)0.74:0.0193620995178)0.98:0.0400483122451)1:0.216507328375):0); 0.0 0.0
2000 10000.0 25 445.9255 15.3775 1577 (r4:1,(((r2:1,(r1:1,r0:1)1:0.199621770514)1:0.230148916243,(r5:1,(r6:1,r7:1)1:0.228781604212)0.64:0.0146621888542)0.48:0.0130786572485,r3:1):0); 0.20410776171712283 0.12857142857142856 (r5:1,((r7:1,r6:1)1:0.266009089735,((r2:1,(r1:1,r0:1)1:0.23325019146)1:0.235734547349,(r4:1,r3:1)0.66:0.0176626209479)0.79:0.0226392738061):0); 0.20410776171712283 0.12857142857142856
2000 10000.0 26 448.2665 15.496 1546 (r3:1,((r2:1,(r0:1,r1:1)1:0.201453943984)1:0.227674979657,((r5:1,(r6:1,r7:1)1:0.226146556574)0.72:0.0193960383005,r4:1)0.83:0.0242804037071):0); 0.0 0.0 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.245365417447)0.83:0.0247036182481)0.56:0.0203354595928)1:0.241649485468)1:0.248345634184,r1:1):0); 0.0 0.0
2000 10000.0 27 447.8475 15.407 1533 (r5:1,((r7:1,r6:1)1:0.197975679607,((r4:1,(r2:1,(r0:1,r1:1)1:0.230101736417)1:0.256925557843)0.45:0.00693721700566,r3:1)0.98:0.0417125708757):0); 0.1790338045715902 0.12857142857142856 (r4:1,(r3:1,((r2:1,(r0:1,r1:1)1:0.253292753371)1:0.264723043194,(r5:1,(r7:1,r6:1)1:0.243945324342)0.92:0.0312784801409)0.5:0.0102622676123):0); 0.20410776171712283 0.12857142857142856
2000 10000.0 28 448.72 15.427 1554 (r7:1,(r6:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.238820517956)1:0.183596732303)0.93:0.0340566585705,r4:1)0.76:0.0215958383364)1:0.214931485754):0); 0.0 0.0 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.240049354569)0.8:0.0228494327723)0.79:0.0217888319741)1:0.207194150342)1:0.25756972275,r1:1):0); 0.0 0.0
2000 10000.0 29 448.326 15.423 1527 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.185625359168)1:0.226146556574)0.58:0.0155289140614)0.6:0.0137751022417)1:0.2357792687):0); 0.0 0.0 (r1:1,(r0:1,(r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.211063680744)0.57:0.0113184366388)0.49:0.00999615219799)1:0.25887375026)1:0.244896896949):0); 0.0 0.0
2000 10000.0 2 447.254 15.577 1526 (r7:1,(r6:1,(r5:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.247231961164)1:0.245002733399)0.58:0.0204475128513,r4:1)0.8:0.024184402171)1:0.204024639487):0); 0.0 0.0 (r2:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.215037137364)0.93:0.0340401332073)0.88:0.0275088816438)1:0.228227205935,(r1:1,r0:1)1:0.275839370476):0); 0.0 0.0
