2000 100000.0 21 5537.1375 214.257 696 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.200354237128)1:0.221107581829)0.54:0.0113923162081,((r6:1,r7:1)1:0.209370767069,r5:1)0.54:0.0114028470133):0); 0.0 0.0 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.718042212436)0.96:0.0355766860296)1:0.0881478182329)1:0.969894750428)1:0.891122860167,r0:1):0); 0.0 0.0
2000 100000.0 22 5536.356 213.9845 730 (r7:1,(r6:1,(r5:1,(r3:1,(r4:1,((r0:1,r1:1)1:0.205496580875,r2:1)1:0.242491821576)0.4:0.00475893196203)0.86:0.0261061861774)1:0.228970087862):0); 0.1790338045715902 0.12857142857142856 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.857696567608)1:0.972865049641)1:0.0663726191924,(r5:1,(r7:1,r6:1)1:0.644000115712)1:0.0662391167557):0); 0.0 0.0
2000 100000.0 23 5522.4225 213.699 681 (r2:1,((r1:1,r0:1)1:0.241298361595,(r3:1,((r5:1,(r7:1,r6:1)1:0.191418279061)0.94:0.0322808319411,r4:1)0.66:0.0156981187995)1:0.204990356607):0); 0.0 0.0 (r2:1,((r0:1,r1:1)1:0.890757429869,(r3:1,((r5:1,(r6:1,r7:1)1:0.685976549297)1:0.0628408126357,r4:1)1:0.0599845218765)1:0.962262065336):0); 0.0 0.0
2000 100000.0 24 5543.179 214.64 697 (r6:1,(r7:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.197062354126)1:0.239987198644)0.74:0.0192580479702)0.99:0.0427877872444,r5:1)1:0.209001149619):0); 0.0 0.0 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.885291939856)1:0.989109315372)1:0.0661056321396)1:0.0606480478779)1:0.697655076999,r7:1):0); 0.0 0.0
2000 100000.0 25 5538.591 214.12 695 (r1:1,(r0:1,(r2:1,(r3:1,((r6:1,r7:1)1:0.226851692342,(r4:1,r5:1)0.89:0.031603620093)0.99:0.0451050584718)1:0.196742887177)1:0.209185941267):0); 0.19443359141936595 0.11428571428571432 (r3:1,((r2:1,(r1:1,r0:1)1:0.868714983684)1:1.02842073559,(r4:1,(r5:1,(r6:1,r7:1)1:0.69314718056)0.97:0.0384938409571)1:0.0578641924312):0); 0.0 0.0
2000 100000.0 26 5549.2125 214.142 705 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.230101736417)1:0.213422401945)0.72:0.0183244599542)0.85:0.0275499517682)1:0.225394959395):0); 0.0 0.0 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.909566761826)1:1.01799311242)0.99:0.0476788378933)1:0.0602498794474)1:0.697353917533,r7:1):0); 0.0 0.0
2000 100000.0 27 5526.9805 213.626 689 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.218282820114)0.97:0.0368397418205)0.59:0.0125724562759)1:0.208793299824)1:0.278033616442,r0:1):0); 0.0 0.0 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.961526500757)1:0.910171933737,r3:1)1:0.0550440618938)0.82:0.032861664484)1:0.743257556155):0); 0.0 0.0
2000 100000.0 28 5540.669 214.078 665 (r4:1,(r3:1,((r2:1,(r0:1,r1:1)1:0.226898719077)1:0.228263457282,(r5:1,(r7:1,r6:1)1:0.231423613675)0.77:0.0217873541849)0.72:0.0207025823592):0); 0.20410776171712283 0.12857142857142856 (r4:1,((r5:1,(r6:1,r7:1)1:0.740109930012)1:0.058360741426,(r3:1,((r1:1,r0:1)1:0.947894351967,r2:1)1:0.962507373813)1:0.0730705678765):0); 0.0 0.0
2000 100000.0 29 5541.0485 214.535 696 (r6:1,(r7:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.228970087862)1:0.209139740153,r3:1)0.72:0.022745483989)0.9:0.0297677820973)1:0.191963089753):0); 0.0 0.0 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:1.00071584185)1:0.957124439357)0.99:0.0487276973549,(r5:1,(r7:1,r6:1)1:0.709471605949)1:0.0680429051995):0); 0.0 0.0
2000 100000.0 2 5533.564 213.897 654 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.198706941066)1:0.220873827737)0.97:0.038894263029,((r6:1,r7:1)1:0.203656992424,r5:1)0.59:0.0128255247323):0); 0.0 0.0 (r5:1,((r7:1,r6:1)1:0.747047832329,((r3:1,(r2:1,(r0:1,r1:1)1:0.908450482641)1:0.987095722948)1:0.0638835077641,r4:1)1:0.0695485516571):0); 0.0 0.0
