2000 100000.0 21 4476.387 139.901 979 (r2:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.229158607044)0.66:0.0157721548763)0.63:0.0157827319062)1:0.182021751665,(r1:1,r0:1)1:0.245122458033):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.56393544908,((r3:1,(r2:1,(r0:1,r1:1)1:0.721737935768)1:0.542751668495)1:0.05707022653,r4:1)0.88:0.0291887432855):0); 0.0 0.0
2000 100000.0 22 4475.342 140.2855 941 (r2:1,((r1:1,r0:1)1:0.222581490409,((r4:1,(r5:1,(r6:1,r7:1)1:0.208262324318)0.43:0.00507281501179)0.47:0.0116450861466,r3:1)1:0.212958526256):0); 0.0 0.0 (r1:1,(r0:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.605361490734)0.93:0.0351883742103)1:0.0506534682582)1:0.544688402477,r2:1)1:0.70309151443):0); 0.0 0.0
2000 100000.0 23 4473.5615 140.802 942 (r1:1,(r0:1,(r2:1,(r3:1,(r4:1,((r6:1,r7:1)1:0.209555627038,r5:1)0.8:0.0237045326862)0.5:0.0092043156718)1:0.222277172606)1:0.205680725982):0); 0.0 0.0 (r3:1,((r4:1,(r5:1,(r6:1,r7:1)1:0.608111767495)0.84:0.0246645020409)0.97:0.0386345115231,((r1:1,r0:1)1:0.667979308853,r2:1)1:0.616338852511):0); 0.0 0.0
2000 100000.0 24 4472.9455 139.7605 959 (r6:1,(r7:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.198341243494)1:0.232392525851,r3:1)0.7:0.0181548102804)0.72:0.0193960383005)1:0.207524044476):0); 0.0 0.0 (r3:1,((r2:1,(r0:1,r1:1)1:0.691349696553)1:0.567895850296,((r6:1,r7:1)1:0.626981891124,(r5:1,r4:1)0.7:0.0248566065464)1:0.0531757036367):0); 0.19443359141936595 0.11428571428571432
2000 100000.0 25 4472.3395 140.47 950 (r0:1,((r2:1,(r3:1,((r7:1,r6:1)1:0.212610760646,(r4:1,r5:1)0.61:0.0161529984494)0.92:0.0302505706936)1:0.197199299782)1:0.191599849647,r1:1):0); 0.19443359141936595 0.11428571428571432 (r5:1,((r7:1,r6:1)1:0.620582484745,((r3:1,(r2:1,(r0:1,r1:1)1:0.737285512631)1:0.565253840833)1:0.0486402503696,r4:1)0.98:0.0403457835889):0); 0.0 0.0
2000 100000.0 26 4466.924 140.2825 982 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.216791951407)1:0.196286682789)0.7:0.0188335817302)0.88:0.0270684649276)1:0.211961921582,r7:1):0); 0.0 0.0 (r5:1,((r7:1,r6:1)1:0.589557347077,((r3:1,(r2:1,(r0:1,r1:1)1:0.683300763547)1:0.538889417154)0.98:0.0413218695619,r4:1)0.86:0.0295747319037):0); 0.0 0.0
2000 100000.0 27 4475.0795 140.08 933 (r6:1,(r7:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.23805933809)1:0.216210183981)0.81:0.0228306955267)0.46:0.00809111573747,r5:1)1:0.216419581267):0); 0.0 0.0 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.586587983308)0.99:0.0468056279182)0.69:0.016968067749)1:0.590977657755)1:0.784447419928,r1:1):0); 0.0 0.0
2000 100000.0 28 4479.911 140.7465 984 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.218655884845)0.72:0.0183456681872)0.83:0.0246218171621)1:0.218539287165)1:0.232179757378,r1:1):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.727927989578)1:0.574032365116)0.98:0.0412350677737,r4:1)0.97:0.0384938409571)1:0.564198988415):0); 0.0 0.0
2000 100000.0 29 4473.0045 140.689 966 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.207524044476)1:0.202233635357)0.8:0.0221492064467)0.78:0.0222663043354)1:0.208446979475,r6:1):0); 0.0 0.0 (r2:1,((r0:1,r1:1)1:0.706124577113,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.62561464521)0.91:0.0311201779758)0.98:0.0408011718152)1:0.544688402477):0); 0.0 0.0
2000 100000.0 2 4479.6525 140.683 962 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.179148186469)1:0.214815321497,r3:1)0.96:0.035263867478)0.71:0.0193005045054)1:0.197975679607):0); 0.0 0.0 (r3:1,((r2:1,(r0:1,r1:1)1:0.613912087583)1:0.586251112832,(r4:1,(r5:1,(r6:1,r7:1)1:0.606185779832)0.92:0.0318937975869)1:0.0485528110306):0); 0.0 0.0
2000 100000.0 30 4474.8705 140.0935 947 (r7:1,(r6:1,(r5:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.204024639487)1:0.223213831145)0.74:0.0193429628431,r4:1)0.76:0.0203518785568)1:0.229724377922):0); 0.0 0.0 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r1:1,r0:1)1:0.747680944094)1:0.590131991743,r3:1)0.91:0.0316466040385)0.99:0.0444517625708)1:0.584165044985):0); 0.0 0.0
2000 100000.0 31 4474.3125 140.898 967 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.185444870042)1:0.209717407549)0.54:0.0102977175218,(r5:1,(r7:1,r6:1)1:0.228593156082)0.58:0.0121613565785):0); 0.0 0.0 (r4:1,((r5:1,(r7:1,r6:1)1:0.576931255906)0.95:0.034606189059,((r2:1,(r1:1,r0:1)1:0.646858894103)1:0.582888634882,r3:1)0.98:0.0434073760529):0); 0.0 0.0
2000 100000.0 32 4467.957 139.8845 948 (r1:1,(r0:1,((r4:1,(r3:1,(r5:1,(r7:1,r6:1)1:0.201270575504)0.99:0.0437662609037)0.85:0.0271861403042)1:0.232747240605,r2:1)1:0.235210062727):0); 0.1790338045715902 0.12857142857142856 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.71344168293)1:0.556715201106)0.99:0.0449743651435)0.99:0.0453338129049)1:0.605636178279,r6:1):0); 0.0 0.0
2000 100000.0 33 4479.701 140.837 976 (r3:1,((r2:1,(r0:1,r1:1)1:0.225770687372)1:0.214234702541,(r4:1,(r5:1,(r7:1,r6:1)1:0.181302585866)0.62:0.0152011613321)0.9:0.0285564728242):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.73103744482)1:0.555408011378,r3:1)0.99:0.0451486267105)0.92:0.0326680161488)1:0.573200902526):0); 0.0 0.0
2000 100000.0 34 4473.804 140.5075 987 (r1:1,(r0:1,(r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.199255738299)0.94:0.0347031963831)0.63:0.0175612629699)1:0.185286968775)1:0.1746747067):0); 0.0 0.0 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.636038742981)1:0.567730520048)1:0.052144108194)0.9:0.0285136214969)1:0.553450425108,r7:1):0); 0.0 0.0
2000 100000.0 35 4470.501 140.9225 943 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.242635132537)1:0.216442850338)0.99:0.0421034248967)0.76:0.0235126493507)1:0.220710232378,r6:1):0); 0.0 0.0 (r4:1,((r5:1,(r6:1,r7:1)1:0.567895850296)0.72:0.0194915812233,(r3:1,(r2:1,(r0:1,r1:1)1:0.682410423676)1:0.620164278842)0.99:0.0423640791403):0); 0.0 0.0
