qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.6506,0.1736,0.1758,5000.0
2,r0,r1,r2,r4,0.647,0.1758,0.1772,5000.0
3,r0,r1,r3,r4,0.7966,0.1018,0.1016,5000.0
4,r0,r2,r3,r4,0.5932,0.2092,0.1976,5000.0
5,r1,r2,r3,r4,0.5922,0.2112,0.1966,5000.0
6,r0,r1,r2,r5,0.649,0.1738,0.1772,5000.0
7,r0,r1,r3,r5,0.8148,0.095,0.0902,5000.0
8,r0,r2,r3,r5,0.6086,0.196,0.1954,5000.0
9,r1,r2,r3,r5,0.6082,0.1944,0.1974,5000.0
10,r0,r1,r4,r5,0.8158,0.0978,0.0864,5000.0
11,r0,r2,r4,r5,0.6162,0.1866,0.1972,5000.0
12,r1,r2,r4,r5,0.6134,0.184,0.2026,5000.0
13,r0,r3,r4,r5,0.338,0.327,0.335,5000.0
14,r1,r3,r4,r5,0.3396,0.3228,0.3376,5000.0
15,r2,r3,r4,r5,0.336,0.3326,0.3314,5000.0
16,r0,r1,r2,r6,0.6484,0.1746,0.177,5000.0
17,r0,r1,r3,r6,0.8144,0.0916,0.094,5000.0
18,r0,r2,r3,r6,0.6062,0.1972,0.1966,5000.0
19,r1,r2,r3,r6,0.6062,0.1968,0.197,5000.0
20,r0,r1,r4,r6,0.8144,0.0954,0.0902,5000.0
21,r0,r2,r4,r6,0.624,0.1818,0.1942,5000.0
22,r1,r2,r4,r6,0.6216,0.182,0.1964,5000.0
23,r0,r3,r4,r6,0.3474,0.3168,0.3358,5000.0
24,r1,r3,r4,r6,0.348,0.315,0.337,5000.0
25,r2,r3,r4,r6,0.3424,0.323,0.3346,5000.0
26,r0,r1,r5,r6,0.8312,0.0816,0.0872,5000.0
27,r0,r2,r5,r6,0.6426,0.179,0.1784,5000.0
28,r1,r2,r5,r6,0.6472,0.1782,0.1746,5000.0
29,r0,r3,r5,r6,0.3562,0.3124,0.3314,5000.0
30,r1,r3,r5,r6,0.359,0.312,0.329,5000.0
31,r2,r3,r5,r6,0.3574,0.3088,0.3338,5000.0
32,r0,r4,r5,r6,0.3436,0.3268,0.3296,5000.0
33,r1,r4,r5,r6,0.3388,0.328,0.3332,5000.0
34,r2,r4,r5,r6,0.3424,0.3232,0.3344,5000.0
35,r3,r4,r5,r6,0.354,0.3316,0.3144,5000.0
36,r0,r1,r2,r7,0.649,0.176,0.175,5000.0
37,r0,r1,r3,r7,0.815,0.09,0.095,5000.0
38,r0,r2,r3,r7,0.6144,0.19,0.1956,5000.0
39,r1,r2,r3,r7,0.6144,0.1914,0.1942,5000.0
40,r0,r1,r4,r7,0.8126,0.0956,0.0918,5000.0
41,r0,r2,r4,r7,0.619,0.183,0.198,5000.0
42,r1,r2,r4,r7,0.6198,0.1804,0.1998,5000.0
43,r0,r3,r4,r7,0.3326,0.3272,0.3402,5000.0
44,r1,r3,r4,r7,0.3356,0.3248,0.3396,5000.0
45,r2,r3,r4,r7,0.3312,0.3358,0.333,5000.0
46,r0,r1,r5,r7,0.832,0.0826,0.0854,5000.0
47,r0,r2,r5,r7,0.6404,0.1788,0.1808,5000.0
48,r1,r2,r5,r7,0.6456,0.1756,0.1788,5000.0
49,r0,r3,r5,r7,0.3428,0.3272,0.33,5000.0
50,r1,r3,r5,r7,0.3438,0.3268,0.3294,5000.0
51,r2,r3,r5,r7,0.344,0.3278,0.3282,5000.0
52,r0,r4,r5,r7,0.335,0.3254,0.3396,5000.0
53,r1,r4,r5,r7,0.3312,0.3234,0.3454,5000.0
54,r2,r4,r5,r7,0.3384,0.3258,0.3358,5000.0
55,r3,r4,r5,r7,0.3486,0.322,0.3294,5000.0
56,r0,r1,r6,r7,0.9096,0.0466,0.0438,5000.0
57,r0,r2,r6,r7,0.8074,0.0944,0.0982,5000.0
58,r1,r2,r6,r7,0.8074,0.0914,0.1012,5000.0
59,r0,r3,r6,r7,0.6164,0.194,0.1896,5000.0
60,r1,r3,r6,r7,0.618,0.192,0.19,5000.0
61,r2,r3,r6,r7,0.6164,0.1952,0.1884,5000.0
62,r0,r4,r6,r7,0.6078,0.187,0.2052,5000.0
63,r1,r4,r6,r7,0.6084,0.1852,0.2064,5000.0
64,r2,r4,r6,r7,0.6078,0.1924,0.1998,5000.0
65,r3,r4,r6,r7,0.594,0.1932,0.2128,5000.0
66,r0,r5,r6,r7,0.6266,0.1736,0.1998,5000.0
67,r1,r5,r6,r7,0.629,0.1718,0.1992,5000.0
68,r2,r5,r6,r7,0.6276,0.18,0.1924,5000.0
69,r3,r5,r6,r7,0.608,0.1864,0.2056,5000.0
70,r4,r5,r6,r7,0.6064,0.1988,0.1948,5000.0
