qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.642,0.1756,0.1824,5000.0
2,r0,r1,r2,r4,0.641,0.1774,0.1816,5000.0
3,r0,r1,r3,r4,0.7914,0.102,0.1066,5000.0
4,r0,r2,r3,r4,0.597,0.1946,0.2084,5000.0
5,r1,r2,r3,r4,0.5962,0.1968,0.207,5000.0
6,r0,r1,r2,r5,0.6454,0.176,0.1786,5000.0
7,r0,r1,r3,r5,0.8002,0.102,0.0978,5000.0
8,r0,r2,r3,r5,0.6114,0.1896,0.199,5000.0
9,r1,r2,r3,r5,0.6132,0.1914,0.1954,5000.0
10,r0,r1,r4,r5,0.8074,0.0986,0.094,5000.0
11,r0,r2,r4,r5,0.6208,0.192,0.1872,5000.0
12,r1,r2,r4,r5,0.6244,0.1902,0.1854,5000.0
13,r0,r3,r4,r5,0.3386,0.3264,0.335,5000.0
14,r1,r3,r4,r5,0.3414,0.3208,0.3378,5000.0
15,r2,r3,r4,r5,0.3468,0.3146,0.3386,5000.0
16,r0,r1,r2,r6,0.644,0.1778,0.1782,5000.0
17,r0,r1,r3,r6,0.8026,0.1034,0.094,5000.0
18,r0,r2,r3,r6,0.6192,0.1842,0.1966,5000.0
19,r1,r2,r3,r6,0.6144,0.1872,0.1984,5000.0
20,r0,r1,r4,r6,0.8136,0.0976,0.0888,5000.0
21,r0,r2,r4,r6,0.6344,0.1846,0.181,5000.0
22,r1,r2,r4,r6,0.634,0.1826,0.1834,5000.0
23,r0,r3,r4,r6,0.34,0.3132,0.3468,5000.0
24,r1,r3,r4,r6,0.3424,0.3098,0.3478,5000.0
25,r2,r3,r4,r6,0.3432,0.3096,0.3472,5000.0
26,r0,r1,r5,r6,0.8302,0.0896,0.0802,5000.0
27,r0,r2,r5,r6,0.6472,0.1764,0.1764,5000.0
28,r1,r2,r5,r6,0.6456,0.1724,0.182,5000.0
29,r0,r3,r5,r6,0.3488,0.3126,0.3386,5000.0
30,r1,r3,r5,r6,0.3426,0.3124,0.345,5000.0
31,r2,r3,r5,r6,0.35,0.3144,0.3356,5000.0
32,r0,r4,r5,r6,0.3328,0.3284,0.3388,5000.0
33,r1,r4,r5,r6,0.3242,0.3298,0.346,5000.0
34,r2,r4,r5,r6,0.3258,0.3322,0.342,5000.0
35,r3,r4,r5,r6,0.3454,0.3316,0.323,5000.0
36,r0,r1,r2,r7,0.6426,0.1766,0.1808,5000.0
37,r0,r1,r3,r7,0.8078,0.0988,0.0934,5000.0
38,r0,r2,r3,r7,0.6274,0.1836,0.189,5000.0
39,r1,r2,r3,r7,0.6234,0.1878,0.1888,5000.0
40,r0,r1,r4,r7,0.8152,0.0966,0.0882,5000.0
41,r0,r2,r4,r7,0.6298,0.1888,0.1814,5000.0
42,r1,r2,r4,r7,0.629,0.1868,0.1842,5000.0
43,r0,r3,r4,r7,0.3342,0.3196,0.3462,5000.0
44,r1,r3,r4,r7,0.336,0.3162,0.3478,5000.0
45,r2,r3,r4,r7,0.3404,0.3164,0.3432,5000.0
46,r0,r1,r5,r7,0.831,0.087,0.082,5000.0
47,r0,r2,r5,r7,0.6522,0.1784,0.1694,5000.0
48,r1,r2,r5,r7,0.6516,0.1748,0.1736,5000.0
49,r0,r3,r5,r7,0.346,0.3174,0.3366,5000.0
50,r1,r3,r5,r7,0.34,0.3188,0.3412,5000.0
51,r2,r3,r5,r7,0.3452,0.3198,0.335,5000.0
52,r0,r4,r5,r7,0.3374,0.3218,0.3408,5000.0
53,r1,r4,r5,r7,0.3292,0.3244,0.3464,5000.0
54,r2,r4,r5,r7,0.333,0.3256,0.3414,5000.0
55,r3,r4,r5,r7,0.3462,0.3258,0.328,5000.0
56,r0,r1,r6,r7,0.9084,0.0474,0.0442,5000.0
57,r0,r2,r6,r7,0.8134,0.095,0.0916,5000.0
58,r1,r2,r6,r7,0.8076,0.0962,0.0962,5000.0
59,r0,r3,r6,r7,0.6168,0.198,0.1852,5000.0
60,r1,r3,r6,r7,0.6174,0.1962,0.1864,5000.0
61,r2,r3,r6,r7,0.618,0.1932,0.1888,5000.0
62,r0,r4,r6,r7,0.6048,0.1956,0.1996,5000.0
63,r1,r4,r6,r7,0.6008,0.1964,0.2028,5000.0
64,r2,r4,r6,r7,0.6032,0.1966,0.2002,5000.0
65,r3,r4,r6,r7,0.5994,0.1996,0.201,5000.0
66,r0,r5,r6,r7,0.6232,0.1898,0.187,5000.0
67,r1,r5,r6,r7,0.6202,0.1908,0.189,5000.0
68,r2,r5,r6,r7,0.6268,0.1866,0.1866,5000.0
69,r3,r5,r6,r7,0.6094,0.1952,0.1954,5000.0
70,r4,r5,r6,r7,0.6098,0.1948,0.1954,5000.0
