qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.654,0.1712,0.1748,5000.0
2,r0,r1,r2,r4,0.65,0.1726,0.1774,5000.0
3,r0,r1,r3,r4,0.796,0.1044,0.0996,5000.0
4,r0,r2,r3,r4,0.595,0.2066,0.1984,5000.0
5,r1,r2,r3,r4,0.5978,0.2016,0.2006,5000.0
6,r0,r1,r2,r5,0.6512,0.1732,0.1756,5000.0
7,r0,r1,r3,r5,0.8046,0.0992,0.0962,5000.0
8,r0,r2,r3,r5,0.603,0.1896,0.2074,5000.0
9,r1,r2,r3,r5,0.61,0.1852,0.2048,5000.0
10,r0,r1,r4,r5,0.8146,0.0888,0.0966,5000.0
11,r0,r2,r4,r5,0.6134,0.185,0.2016,5000.0
12,r1,r2,r4,r5,0.6126,0.1866,0.2008,5000.0
13,r0,r3,r4,r5,0.3196,0.33,0.3504,5000.0
14,r1,r3,r4,r5,0.3224,0.3304,0.3472,5000.0
15,r2,r3,r4,r5,0.3282,0.3318,0.34,5000.0
16,r0,r1,r2,r6,0.6514,0.1706,0.178,5000.0
17,r0,r1,r3,r6,0.805,0.0986,0.0964,5000.0
18,r0,r2,r3,r6,0.6048,0.1918,0.2034,5000.0
19,r1,r2,r3,r6,0.6076,0.1892,0.2032,5000.0
20,r0,r1,r4,r6,0.818,0.0862,0.0958,5000.0
21,r0,r2,r4,r6,0.621,0.1808,0.1982,5000.0
22,r1,r2,r4,r6,0.6176,0.1872,0.1952,5000.0
23,r0,r3,r4,r6,0.3196,0.3216,0.3588,5000.0
24,r1,r3,r4,r6,0.3192,0.3202,0.3606,5000.0
25,r2,r3,r4,r6,0.322,0.3312,0.3468,5000.0
26,r0,r1,r5,r6,0.8334,0.0806,0.086,5000.0
27,r0,r2,r5,r6,0.6456,0.1764,0.178,5000.0
28,r1,r2,r5,r6,0.6504,0.179,0.1706,5000.0
29,r0,r3,r5,r6,0.3474,0.3128,0.3398,5000.0
30,r1,r3,r5,r6,0.3466,0.3092,0.3442,5000.0
31,r2,r3,r5,r6,0.3558,0.3092,0.335,5000.0
32,r0,r4,r5,r6,0.353,0.3174,0.3296,5000.0
33,r1,r4,r5,r6,0.3512,0.3162,0.3326,5000.0
34,r2,r4,r5,r6,0.358,0.315,0.327,5000.0
35,r3,r4,r5,r6,0.3648,0.3232,0.312,5000.0
36,r0,r1,r2,r7,0.6516,0.1712,0.1772,5000.0
37,r0,r1,r3,r7,0.809,0.096,0.095,5000.0
38,r0,r2,r3,r7,0.6038,0.1956,0.2006,5000.0
39,r1,r2,r3,r7,0.608,0.1942,0.1978,5000.0
40,r0,r1,r4,r7,0.8198,0.0854,0.0948,5000.0
41,r0,r2,r4,r7,0.6178,0.1836,0.1986,5000.0
42,r1,r2,r4,r7,0.6154,0.1892,0.1954,5000.0
43,r0,r3,r4,r7,0.3164,0.3308,0.3528,5000.0
44,r1,r3,r4,r7,0.315,0.3316,0.3534,5000.0
45,r2,r3,r4,r7,0.3192,0.333,0.3478,5000.0
46,r0,r1,r5,r7,0.8344,0.0816,0.084,5000.0
47,r0,r2,r5,r7,0.65,0.178,0.172,5000.0
48,r1,r2,r5,r7,0.6504,0.1802,0.1694,5000.0
49,r0,r3,r5,r7,0.3436,0.3178,0.3386,5000.0
50,r1,r3,r5,r7,0.344,0.3154,0.3406,5000.0
51,r2,r3,r5,r7,0.3526,0.3104,0.337,5000.0
52,r0,r4,r5,r7,0.3486,0.3182,0.3332,5000.0
53,r1,r4,r5,r7,0.3508,0.3136,0.3356,5000.0
54,r2,r4,r5,r7,0.3586,0.3086,0.3328,5000.0
55,r3,r4,r5,r7,0.3606,0.3212,0.3182,5000.0
56,r0,r1,r6,r7,0.9128,0.0438,0.0434,5000.0
57,r0,r2,r6,r7,0.8078,0.1018,0.0904,5000.0
58,r1,r2,r6,r7,0.8054,0.1032,0.0914,5000.0
59,r0,r3,r6,r7,0.61,0.197,0.193,5000.0
60,r1,r3,r6,r7,0.6108,0.1976,0.1916,5000.0
61,r2,r3,r6,r7,0.6094,0.1928,0.1978,5000.0
62,r0,r4,r6,r7,0.613,0.1948,0.1922,5000.0
63,r1,r4,r6,r7,0.6116,0.1942,0.1942,5000.0
64,r2,r4,r6,r7,0.6138,0.1884,0.1978,5000.0
65,r3,r4,r6,r7,0.5946,0.2042,0.2012,5000.0
66,r0,r5,r6,r7,0.6258,0.1858,0.1884,5000.0
67,r1,r5,r6,r7,0.628,0.186,0.186,5000.0
68,r2,r5,r6,r7,0.6292,0.181,0.1898,5000.0
69,r3,r5,r6,r7,0.608,0.1952,0.1968,5000.0
70,r4,r5,r6,r7,0.603,0.196,0.201,5000.0
