1000 10000.0 20 13.039628438033985 10.329 940 (r6:1,(r7:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.141296585872)1:0.106985211385)0.88:0.0406069549279,r4:1)0.57:0.0201823197499)1:0.115064456621):0); 0.0 0.0 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.133942830606)0.66:0.0232877906331)0.79:0.0309019052165)1:0.11504138108)1:0.149950587627,r1:1):0); 0.0 0.0
1000 10000.0 21 13.177383306872473 10.259 916 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.133046281253)1:0.161168252486)0.5:0.0134095204098)0.53:0.0137048728306)1:0.125203103792):0); 0.0 0.0 (r2:1,((r1:1,r0:1)1:0.154352720438,((r5:1,(r6:1,r7:1)1:0.101947543062)0.49:0.0117916759832,(r4:1,r3:1)0.48:0.010802219496)1:0.172328321729):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 22 13.168034830339234 10.101 921 (r7:1,(r6:1,(r5:1,((r3:1,r4:1)0.69:0.0285420033395,(r2:1,(r0:1,r1:1)1:0.146140886003)1:0.130112098796)0.39:0.00400400935338)1:0.16504901234):0); 0.20410776171712283 0.12857142857142856 (r0:1,(r1:1,(r2:1,((r4:1,r3:1)0.43:0.0106548524745,((r6:1,r7:1)1:0.186118664002,r5:1)0.42:0.00642036030712)1:0.160551182788)1:0.144445791688):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 23 13.102626580781463 10.187 920 (r0:1,(r1:1,((r3:1,(r5:1,(r4:1,(r6:1,r7:1)1:0.164695593004)0.46:0.0104818157226)0.74:0.0275146059888)1:0.125288025876,r2:1)1:0.182881153899):0); 0.17556643393915275 0.11428571428571432 (r4:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.206374520256)1:0.170283972965)0.63:0.0210582679892,(r5:1,(r7:1,r6:1)1:0.119726395706)0.61:0.0243819625767):0); 0.0 0.0
1000 10000.0 24 13.193507620204494 10.162 923 (r0:1,(r1:1,(r2:1,(r3:1,(r5:1,(r4:1,(r7:1,r6:1)1:0.11944525554)0.59:0.0188452934787)0.4:0.00601204215663)1:0.148050443045)1:0.132019762771):0); 0.17556643393915275 0.11428571428571432 (r4:1,((r7:1,r6:1)1:0.103445461383,((r3:1,(r2:1,(r0:1,r1:1)1:0.123360380963)1:0.194685322611)0.39:0.00401077716363,r5:1)0.57:0.0209902758918):0); 0.17556643393915275 0.11428571428571432
1000 10000.0 25 13.025949885615294 10.199 926 (r7:1,(r6:1,((r4:1,r5:1)0.52:0.017128882263,(r3:1,(r2:1,(r1:1,r0:1)1:0.166463940061)1:0.105527029687)0.46:0.00903167203035)1:0.159409237081):0); 0.19443359141936595 0.11428571428571432 (r3:1,((r2:1,(r0:1,r1:1)1:0.174106711819)1:0.13424952551,((r4:1,r5:1)0.42:0.00737437846066,(r7:1,r6:1)1:0.16690748676)0.54:0.0147624923853):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 26 13.12674205944293 10.203 936 (r0:1,(r1:1,(r2:1,(r5:1,((r6:1,r7:1)1:0.173568765684,(r3:1,r4:1)0.96:0.0520296714459)0.56:0.0161131381431)1:0.137893683663)1:0.160464274984):0); 0.3340250044126062 0.30000000000000004 (r6:1,((r4:1,(r5:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.142819113818)1:0.144734654029)0.51:0.0136650228813)0.51:0.0131270273887)1:0.171020613529,r7:1):0); 0.17556643393915275 0.11428571428571432
1000 10000.0 27 13.051578364667494 10.354 934 (r1:1,(r0:1,(r2:1,((r6:1,r7:1)1:0.152210062102,(r3:1,(r4:1,r5:1)0.72:0.0263173083174)0.62:0.0212022076506)1:0.166021560049)1:0.162225148832):0); 0.34833084106647516 0.2857142857142857 (r6:1,(r7:1,(r5:1,((r4:1,(r2:1,(r1:1,r0:1)1:0.155727125016)1:0.178266928587)0.44:0.00762640239848,r3:1)0.38:0.00337838159163)1:0.11529026212):0); 0.1790338045715902 0.12857142857142856
1000 10000.0 28 13.136410285466315 10.185 920 (r3:1,((r2:1,(r1:1,r0:1)1:0.183241060327)1:0.14653118068,(r4:1,(r5:1,(r7:1,r6:1)1:0.151706117758)0.59:0.017128882263)0.73:0.0264882631003):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,((r5:1,(r4:1,(r6:1,r7:1)1:0.178341002879)0.47:0.011114097344)0.75:0.030540721086,r3:1)1:0.163880850845)1:0.149868018035):0); 0.17556643393915275 0.11428571428571432
1000 10000.0 29 13.098813763956782 10.325 949 (r0:1,(r1:1,(r2:1,(r3:1,(r5:1,(r4:1,(r6:1,r7:1)1:0.122489397921)0.49:0.0125661367045)0.57:0.0167901862394)1:0.144364802017)1:0.142678278665):0); 0.17556643393915275 0.11428571428571432 (r0:1,(r1:1,(r2:1,((r4:1,(r5:1,(r6:1,r7:1)1:0.135292266473)0.6:0.0213825529782)0.55:0.0187934279713,r3:1)1:0.163105532407)1:0.131293117196):0); 0.0 0.0
