1 10000000.0 0 12.951554089251607 4763.0 1  0 0 ((r1:0.002848,r0:0.002841):0.000784,((r3:0.003308,r4:0.003414):0.000486,((r7:0.004432,r6:0.003801):0.000714,r5:0.003696):0.000244):0.000494,r2:0.003386); 1.8112781244591325 0.12857142857142856
1 10000000.0 10 13.21447737165345 4339.0 1  0 0 ((r3:0.003377,r5:0.003494):0.000538,(r6:0.003722,r7:0.004502):0.000688,(r4:0.003695,((r0:0.002688,r1:0.002679):0.000887,r2:0.003157):0.000457):0.000332); 2.6681222459933007 0.24285714285714288
1 10000000.0 11 13.268694703672281 4589.0 1  0 0 (((r3:0.003434,((r0:0.002775,r1:0.002477):0.000913,r2:0.003153):0.000438):0.000331,(r7:0.004394,r6:0.003605):0.000722):0.000537,r4:0.003278,r5:0.003436); 1.7342878726159023 0.11428571428571432
1 10000000.0 12 13.24101644245142 4477.0 1  0 0 ((r1:0.002677,r0:0.002691):0.000937,((r6:0.003901,r7:0.004322):0.000635,(r5:0.003752,(r3:0.003408,r4:0.003443):0.000504):0.000226):0.000476,r2:0.003373); 3.2136882430683356 0.30000000000000004
1 10000000.0 13 13.171832804978278 4480.0 1  0 0 ((r6:0.003799,r7:0.004485):0.000716,((r2:0.003372,(r0:0.002781,r1:0.002743):0.000936):0.000557,(r4:0.00352,r3:0.003559):0.000505):0.000282,r5:0.003788); 1.8112781244591325 0.12857142857142856
1 10000000.0 14 12.988704202270865 4618.0 1  0 0 ((r1:0.00275,r0:0.002738):0.000823,((r5:0.003625,(r6:0.003874,r7:0.004395):0.000686):0.000295,(r4:0.003454,r3:0.003418):0.000461):0.000413,r2:0.003339); 1.8112781244591325 0.12857142857142856
1 10000000.0 15 13.15581246732121 4499.0 1  0 0 ((r1:0.002702,r0:0.002767):0.00091,(((r6:0.003899,r7:0.004438):0.000917,r4:0.003629):0.000288,(r5:0.003661,r3:0.003442):0.00054):0.000501,r2:0.003235); 2.5911319941500697 0.24285714285714288
1 10000000.0 16 13.062174040433636 4622.0 1  0 0 ((r0:0.002729,r1:0.002732):0.000833,((r5:0.003601,(r7:0.004528,r6:0.003789):0.000734):0.000274,(r4:0.003319,r3:0.00343):0.00046):0.000519,r2:0.003255); 1.8112781244591325 0.12857142857142856
1 10000000.0 17 13.048346354931564 4520.0 1  0 0 (((r5:0.003494,r3:0.003334):0.000468,r4:0.003688):0.000258,(r6:0.003794,r7:0.004278):0.000807,((r0:0.002648,r1:0.002679):0.000879,r2:0.003215):0.000579); 3.5911319941500697 0.3285714285714286
1 10000000.0 18 13.177857902825393 4466.0 1  0 0 ((r0:0.002606,r1:0.002603):0.000942,(r3:0.003495,((r4:0.003379,r5:0.003538):0.000466,(r7:0.004516,r6:0.0039):0.000736):0.000369):0.000476,r2:0.003204); 1.7342878726159014 0.11428571428571432
1 10000000.0 19 13.487248724872487 4502.0 1  0 0 ((r0:0.002882,r1:0.00279):0.000817,(((r5:0.003567,r4:0.003461):0.000473,(r6:0.003837,r7:0.004554):0.00066):0.000369,r3:0.003648):0.000428,r2:0.003428); 1.7342878726159014 0.11428571428571432
