1000 1000.0 20 8.720127777777778 1.478 777 (r3:1,(r2:1,(r0:1,(((r4:1,r5:1)1:0.327422401101,(r6:1,r7:1)0.99:0.0605504799596)0.88:0.0390908514558,r1:1)0.46:0.00896866998276)1:0.233814671344):0); 0.20088165898146854 0.11428571428571432 (r0:1,((r3:1,r2:1)1:0.262101917775,(r1:1,((r6:1,r7:1)0.88:0.0508685757573,(r4:1,r5:1)1:0.370745469034)0.83:0.0448661225592)0.52:0.0169201661569):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 21 8.417066666666665 1.525 774 (r3:1,(r2:1,((r0:1,r1:1)0.93:0.0512407167698,((r4:1,r5:1)1:0.24251389194,(r7:1,r6:1)0.9:0.0404552411032)0.93:0.0462257104383)1:0.228292272772):0); 0.0 0.0 (r7:1,(r6:1,((r4:1,r5:1)1:0.282191034368,((r3:1,r2:1)1:0.259661014262,(r1:1,r0:1)0.65:0.042457142517)0.94:0.0636412960662)0.86:0.0490937003685):0); 0.0 0.0
1000 1000.0 22 8.409409523809524 1.527 764 (r0:1,(r1:1,((r3:1,r2:1)1:0.214734327833,((r6:1,r7:1)0.66:0.0265096345032,(r5:1,r4:1)1:0.240605949553)0.99:0.0672394681104)0.68:0.0240122746422):0); 0.0 0.0 (r2:1,(((r1:1,r0:1)0.52:0.0173106852595,((r7:1,r6:1)0.76:0.0387934167557,(r4:1,r5:1)1:0.25110276567)0.96:0.0680095116978)1:0.2558822507,r3:1):0); 0.0 0.0
1000 1000.0 23 8.764716666666667 1.512 740 (r7:1,(r6:1,(((r0:1,r1:1)0.77:0.030750195985,(r2:1,r3:1)1:0.267164729323)0.85:0.0361734128408,(r5:1,r4:1)1:0.277988943246)1:0.0826841803056):0); 0.0 0.0 (r0:1,(r1:1,((r3:1,r2:1)1:0.32815435548,((r6:1,r7:1)1:0.105800462871,(r4:1,r5:1)1:0.349702584375)0.53:0.0181481315318)0.81:0.0423225745713):0); 0.0 0.0
1000 1000.0 24 8.466557142857145 1.534 751 (r0:1,((r1:1,(r2:1,r3:1)1:0.229281229503)0.58:0.0169383516346,((r6:1,r7:1)0.9:0.0410405498703,(r5:1,r4:1)1:0.248499783152)0.94:0.0490087195194):0); 0.20088165898146854 0.11428571428571432 (r0:1,(r1:1,(((r5:1,r4:1)1:0.302412289692,(r7:1,r6:1)0.86:0.0491592359581)0.83:0.0462721918363,(r2:1,r3:1)1:0.281064479725)0.42:0.00882214511283):0); 0.0 0.0
1000 1000.0 25 8.375652380952381 1.533 758 (r3:1,(((r0:1,r1:1)0.75:0.0280495770597,((r6:1,r7:1)0.91:0.0429940570358,(r4:1,r5:1)1:0.253797170931)0.86:0.037047751071)1:0.248259658286,r2:1):0); 0.0 0.0 (r4:1,(r5:1,((r6:1,r7:1)0.51:0.018605187831,((r2:1,r3:1)1:0.263333767357,(r0:1,r1:1)0.7:0.0331692574699)0.62:0.0250853386609)1:0.310787490153):0); 0.0 0.0
1000 1000.0 26 8.626786904761905 1.528 763 (r4:1,((r6:1,(r7:1,((r0:1,r1:1)0.81:0.0400652254976,(r2:1,r3:1)1:0.239653341718)0.85:0.0359792192291)0.53:0.0138947883188)1:0.211350229849,r5:1):0); 0.20088165898146854 0.11428571428571432 (r0:1,(r1:1,((r3:1,r2:1)1:0.269051172208,((r4:1,r5:1)1:0.25319241821,(r7:1,r6:1)0.44:0.0104061444322)0.75:0.0416988910324)0.58:0.030802909155):0); 0.0 0.0
1000 1000.0 27 8.576049999999999 1.518 749 (r3:1,(r2:1,((r0:1,r1:1)0.94:0.0475016589846,((r5:1,r4:1)1:0.269124073569,(r6:1,r7:1)0.51:0.0199912065147)0.98:0.0589597061105)1:0.251385788041):0); 0.0 0.0 (r5:1,(r4:1,(r6:1,(r7:1,((r1:1,r0:1)0.82:0.0436798939468,(r3:1,r2:1)1:0.295318936042)0.95:0.0661966998901)0.47:0.0185784772753)1:0.253574427278):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 28 8.759095238095236 1.532 787 (r6:1,((r5:1,r4:1)1:0.235330397288,(r7:1,((r0:1,(r2:1,r3:1)1:0.185764038778)0.43:0.00783531134237,r1:1)1:0.0760823064574)0.43:0.00802411527005):0); 0.3091980720371233 0.22857142857142854 (r4:1,((r6:1,(r7:1,((r3:1,r2:1)1:0.209367309914,(r0:1,r1:1)0.54:0.018716261084)0.89:0.0581295152792)0.63:0.0256546136266)1:0.241365909636,r5:1):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 29 8.598114285714287 1.518 793 (r6:1,(r7:1,((r4:1,r5:1)1:0.233720014711,((r3:1,r2:1)1:0.210795034128,(r0:1,r1:1)0.51:0.0129455713515)0.95:0.0498615420856)0.89:0.0404552411032):0); 0.0 0.0 (r7:1,(r6:1,(((r3:1,r2:1)1:0.264746636053,(r1:1,r0:1)0.51:0.0227645188352)0.94:0.0624104079701,(r4:1,r5:1)1:0.242068858859)0.88:0.0505664485866):0); 0.0 0.0
1000 1000.0 2 8.509214285714284 1.481 758 (r0:1,(r1:1,((r2:1,r3:1)1:0.242036564962,((r6:1,r7:1)0.87:0.0392856503266,(r5:1,r4:1)1:0.247539629454)0.7:0.0242041579777)0.72:0.0295918946972):0); 0.0 0.0 (r4:1,(r5:1,(((r2:1,r3:1)1:0.289959741932,(r1:1,r0:1)0.62:0.0364408265047)0.55:0.0196784851587,(r6:1,r7:1)0.63:0.0273091793692)1:0.284535106674):0); 0.0 0.0
1000 1000.0 30 8.553650000000001 1.512 779 (r1:1,(r0:1,(((r5:1,r4:1)1:0.253314428948,(r6:1,r7:1)0.54:0.0146548111561)0.92:0.0433852168295,(r3:1,r2:1)1:0.255246796699)0.45:0.00821295485139):0); 0.0 0.0 (r4:1,(r5:1,((r6:1,r7:1)0.42:0.0113997434647,((r3:1,r2:1)1:0.271587195122,(r1:1,r0:1)0.56:0.0204386676773)0.87:0.049216795448)1:0.287884809401):0); 0.0 0.0
1000 1000.0 31 8.259308333333335 1.521 776 (r1:1,(r0:1,((r2:1,r3:1)1:0.257182905725,((r5:1,r4:1)1:0.209177471672,(r7:1,r6:1)0.85:0.0359792192291)0.95:0.0486809044042)0.89:0.0400652254976):0); 0.0 0.0 (r0:1,(r1:1,((r3:1,r2:1)1:0.309001311028,((r6:1,r7:1)0.59:0.0249151504391,(r4:1,r5:1)1:0.201777502437)0.89:0.0518947583358)0.77:0.0400790130075):0); 0.0 0.0
1000 1000.0 32 8.509942857142859 1.497 767 (r3:1,(((r1:1,r0:1)0.75:0.0292060922233,((r7:1,r6:1)0.88:0.0385066824196,(r4:1,r5:1)1:0.296965792373)0.76:0.0285312958416)1:0.248259658286,r2:1):0); 0.0 0.0 (r6:1,(r7:1,((r5:1,r4:1)1:0.324298015214,((r3:1,r2:1)1:0.304349124937,(r1:1,r0:1)0.46:0.0121991882063)0.49:0.0150822531088)0.79:0.0422352715578):0); 0.0 0.0
