1000 1000.0 20 12.049166075411529 3.935 957 (r1:1,(r0:1,((r2:1,r3:1)1:0.223127942045,((r4:1,r5:1)1:0.230412664661,(r7:1,r6:1)0.73:0.0309433767062)1:0.0730662878914)0.61:0.0257405515966):0); 0.0 0.0 (r4:1,(r5:1,(((r3:1,r2:1)1:0.239092640957,(r1:1,r0:1)0.67:0.0280426607185)0.93:0.046916055244,(r7:1,r6:1)0.47:0.0132137229144)1:0.22791888074):0); 0.0 0.0
1000 1000.0 21 11.923714069906065 3.841 949 (r0:1,((r1:1,(r2:1,r3:1)1:0.2677031664)0.57:0.0159862426414,((r5:1,r4:1)1:0.263501274255,(r6:1,r7:1)0.42:0.00613767818921)0.89:0.0405202584954):0); 0.20088165898146854 0.11428571428571432 (r4:1,(r5:1,((r6:1,r7:1)0.48:0.0116465053863,((r3:1,r2:1)1:0.269371333292,(r0:1,r1:1)0.69:0.0243816498273)0.82:0.0403872065546)1:0.281806998434):0); 0.0 0.0
1000 1000.0 22 11.922887282785043 3.928 959 (r1:1,(r0:1,(((r7:1,r6:1)0.71:0.0276643690426,(r4:1,r5:1)1:0.220088781319)0.96:0.0520296714459,(r2:1,r3:1)1:0.245622083324)0.92:0.0443637862392):0); 0.0 0.0 (r5:1,(((r6:1,r7:1)0.9:0.043581341912,((r3:1,r2:1)1:0.243796021972,(r1:1,r0:1)0.79:0.0322522624164)0.99:0.0682295350828)1:0.196288596164,r4:1):0); 0.0 0.0
1000 1000.0 23 12.276148375916458 3.757 955 (r0:1,(((r2:1,r3:1)1:0.255005046425,((r4:1,r5:1)1:0.214502174611,(r7:1,r6:1)0.86:0.0388960905242)0.99:0.0646384262278)0.74:0.0284349335192,r1:1):0); 0.0 0.0 (r7:1,(r6:1,((r4:1,r5:1)1:0.24714291447,((r2:1,r3:1)1:0.244924510093,(r1:1,r0:1)0.86:0.0399136167378)0.96:0.0512724998274)0.84:0.0374292153958):0); 0.0 0.0
1000 1000.0 24 11.968461174965686 3.799 951 (r3:1,(r2:1,((r0:1,r1:1)0.52:0.0154154120674,((r4:1,r5:1)1:0.234193387501,(r7:1,r6:1)0.65:0.0245880351417)0.91:0.0424076040818)1:0.241321001425):0); 0.0 0.0 (r5:1,(r4:1,((r7:1,r6:1)0.53:0.0151036257455,((r2:1,r3:1)1:0.235707400607,(r0:1,r1:1)0.68:0.0278212680177)0.87:0.0384992086007)1:0.219355388469):0); 0.0 0.0
1000 1000.0 25 11.8027183817988 3.962 953 (r2:1,(r3:1,(r1:1,(r0:1,((r4:1,r5:1)1:0.256214382647,(r6:1,r7:1)0.63:0.0247800289985)0.9:0.0411706650224)0.67:0.027856954503)1:0.241797986886):0); 0.20088165898146854 0.11428571428571432 (r6:1,(r7:1,(((r3:1,r2:1)1:0.245969007296,(r0:1,r1:1)0.46:0.0103462920541)0.89:0.041399147523,(r4:1,r5:1)1:0.245901885577)0.71:0.0310071146159):0); 0.0 0.0
1000 1000.0 26 11.913296222574258 3.741 938 (r7:1,(r6:1,((r4:1,r5:1)1:0.243230309881,((r2:1,r3:1)1:0.235614851848,(r1:1,r0:1)0.72:0.0263173083174)0.98:0.0567765158021)0.68:0.0236286183934):0); 0.0 0.0 (r4:1,(r5:1,((r6:1,r7:1)0.95:0.0502248846451,((r2:1,r3:1)1:0.246697468202,(r0:1,r1:1)0.91:0.0433666823164)0.93:0.0460761357396)1:0.234458972481):0); 0.0 0.0
1000 1000.0 27 12.151904561909388 3.757 954 (r3:1,(r2:1,(((r6:1,r7:1)0.6:0.0196090895823,(r4:1,r5:1)1:0.224299313856)1:0.0697468662447,(r1:1,r0:1)0.9:0.0414309461274)1:0.227586473425):0); 0.0 0.0 (r0:1,(r1:1,((r3:1,r2:1)1:0.223932194888,((r5:1,r4:1)1:0.200079775908,(r7:1,r6:1)0.75:0.0298649850536)0.98:0.0612061286779)0.87:0.03868204791):0); 0.0 0.0
1000 1000.0 28 12.115673733106268 3.917 961 (r0:1,(r1:1,((r2:1,r3:1)1:0.250422860668,((r5:1,r4:1)1:0.282699501107,(r7:1,r6:1)0.45:0.00953583135537)0.89:0.0397728135846)0.88:0.0390908514558):0); 0.0 0.0 (r5:1,(r4:1,((r6:1,r7:1)0.75:0.0285361338838,((r0:1,r1:1)0.85:0.0367172945241,(r3:1,r2:1)1:0.268228729127)0.89:0.0407608617296)1:0.296963791482):0); 0.0 0.0
1000 1000.0 29 11.933778834740439 3.872 953 (r7:1,(r6:1,((r5:1,r4:1)1:0.248499783152,((r0:1,r1:1)0.66:0.0224785320102,(r2:1,r3:1)1:0.283196642554)0.99:0.0613468168522)0.48:0.0106711200298):0); 0.0 0.0 (r3:1,(r2:1,((r1:1,r0:1)0.66:0.0230443252583,((r6:1,(r4:1,r5:1)1:0.26891196977)0.38:0.00310425928752,r7:1)0.98:0.0582987148275)1:0.271814916825):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 2 12.168305976842216 3.815 948 (r7:1,(r6:1,((r5:1,r4:1)1:0.278483747808,((r2:1,r3:1)1:0.235140805857,(r1:1,r0:1)0.96:0.0504523840526)0.94:0.0475016589846)0.94:0.0480911078669):0); 0.0 0.0 (r2:1,(r3:1,((r0:1,r1:1)0.72:0.0270794026317,((r6:1,r7:1)0.93:0.0468573532943,(r5:1,r4:1)1:0.277366645081)0.95:0.0509335796651)1:0.232119337443):0); 0.0 0.0
1000 1000.0 30 12.110264059117696 3.759 953 (r1:1,(((r2:1,r3:1)1:0.235140805857,((r4:1,r5:1)1:0.22172410466,(r6:1,r7:1)0.73:0.0263173083174)0.99:0.0628416599229)0.85:0.0359792192291,r0:1):0); 0.0 0.0 (r0:1,(r1:1,((r3:1,r2:1)1:0.224117880302,((r6:1,r7:1)0.74:0.0282390688587,(r5:1,r4:1)1:0.209582527887)0.94:0.0526473058964)0.9:0.0422374346397):0); 0.0 0.0
1000 1000.0 31 12.212175589751217 3.859 945 (r0:1,(((r2:1,r3:1)1:0.225706773623,((r7:1,r6:1)0.58:0.0188452934787,(r4:1,r5:1)1:0.247299735006)0.88:0.0389934662485)0.74:0.0274718206642,r1:1):0); 0.0 0.0 (r1:1,(((r3:1,r2:1)1:0.221352457454,((r4:1,r5:1)1:0.251192495934,(r6:1,r7:1)0.64:0.031837707578)0.91:0.0427701161818)0.85:0.038927869007,r0:1):0); 0.0 0.0
1000 1000.0 32 11.977265446161876 3.936 938 (r4:1,(r5:1,(((r0:1,r1:1)0.5:0.0119972545426,(r2:1,r3:1)1:0.264965046168)1:0.0698472930588,(r7:1,r6:1)0.87:0.0379228544377)1:0.234430157953):0); 0.0 0.0 (r5:1,(r4:1,(((r1:1,r0:1)0.73:0.0273825442495,(r2:1,r3:1)1:0.270498624396)0.93:0.0464170979175,(r6:1,r7:1)0.77:0.0295797147593)1:0.247069963545):0); 0.0 0.0
