1 10000000.0 0 12.749264345267289 1921.0 1  0 0 (r7:0.001609,r1:0.002026,(((r0:0.002197,r3:0.001812):0.000518,(r4:0.002074,r5:0.002025):0.000587):0.000392,(r6:0.00208,r2:0.002191):0.000467):0.000463); 6.84601949631354 0.7285714285714286
1 10000000.0 10 12.852292020373515 1909.0 1  0 0 ((r2:0.001845,r0:0.001916):0.000676,((r6:0.001692,r5:0.001816):0.000761,r1:0.002059):0.000285,(r4:0.002075,(r7:0.002208,r3:0.001883):0.000717):0.000288); 6.346019496313538 0.6428571428571428
1 10000000.0 11 12.700248447204968 2074.0 1  0 0 (((r6:0.00194,r3:0.001949):0.00046,(r0:0.002002,r7:0.001888):0.00047):0.000445,r1:0.002031,((r4:0.002019,r5:0.001738):0.000542,r2:0.002218):0.000404); 6.825419866765973 0.7428571428571429
1 10000000.0 12 12.863807847082494 1738.0 1  0 0 (r7:0.002125,((r5:0.002038,r6:0.002107):0.000566,(r0:0.001832,r1:0.001595):0.000752):0.000348,(r4:0.002039,(r3:0.001512,r2:0.001511):0.000734):0.000463); 5.234287872615902 0.5285714285714286
1 10000000.0 13 13.08273647814275 1812.0 1  0 0 ((r0:0.001962,r6:0.002041):0.000566,((r1:0.002127,r4:0.001761):0.000478,(r5:0.002167,r3:0.002136):0.000634):0.000222,(r7:0.001824,r2:0.001581):0.000812); 7.0911319941500714 0.8
1 10000000.0 14 12.655864785868598 1540.0 1  0 0 (r5:0.000801,r4:0.000935,(((r7:0.001981,r6:0.001792):0.000576,(r3:0.001889,r1:0.002236):0.000452):0.000231,(r0:0.002188,r2:0.001819):0.000574):0.001313); 5.1887218755408675 0.5285714285714286
1 10000000.0 15 12.880462883171242 1766.0 1  0 0 (r5:0.001771,((r7:0.001726,r6:0.002102):0.000605,((r4:0.001895,r1:0.001804):0.000683,(r3:0.002101,r0:0.00184):0.00058):0.000458):0.000532,r2:0.002232); 5.157297620772672 0.5285714285714286
1 10000000.0 16 12.945177920281655 1906.0 1  0 0 ((r0:0.002053,r5:0.002016):0.000596,(r3:0.001902,r6:0.001981):0.00057,(((r2:0.001615,r1:0.001668):0.00067,r4:0.001977):0.000475,r7:0.002253):0.000347); 6.800453499238504 0.7142857142857143
1 10000000.0 17 12.877353876253363 2056.0 1  0 0 (r7:0.002042,r3:0.002032,((r6:0.002044,r5:0.002031):0.000585,((r1:0.001975,r0:0.002):0.000641,(r2:0.002077,r4:0.002):0.000512):0.000401):0.000409); 4.779853869690937 0.4285714285714286
1 10000000.0 18 12.792188651436993 2072.0 1  0 0 (((r2:0.002096,r6:0.001918):0.000408,((r0:0.001908,r3:0.002086):0.000451,(r5:0.00202,r4:0.001875):0.000787):0.000311):0.000539,r1:0.00177,r7:0.001923); 6.84601949631354 0.7285714285714286
1 10000000.0 19 12.92055954825462 1773.0 1  0 0 ((r0:0.00198,r3:0.001591):0.000634,((r4:0.001879,r2:0.00174):0.000556,r5:0.002134):0.000433,((r1:0.001749,r6:0.001958):0.000562,r7:0.002109):0.000294); 6.468575745231805 0.7
