1000 10000.0 20 12.920559502916207 5.953 953 (r7:1,(r6:1,(((r3:1,r2:1)1:0.23870164048,(r1:1,r0:1)0.96:0.0528192490629)0.95:0.0485825808212,(r5:1,r4:1)1:0.229234114141)0.72:0.028242236727):0); 0.0 0.0 (r7:1,(((r4:1,r5:1)1:0.236932826576,((r0:1,r1:1)0.95:0.0498591674422,(r2:1,r3:1)1:0.238639661904)0.96:0.0525354252685)0.5:0.0142231088197,r6:1):0); 0.0 0.0
1000 10000.0 21 12.691976783865465 6.082 945 (r5:1,(((r6:1,r7:1)0.76:0.0284349335192,((r1:1,r0:1)0.52:0.0159862426414,(r2:1,r3:1)1:0.225237400228)0.81:0.0319098404907)1:0.269859818544,r4:1):0); 0.0 0.0 (r6:1,(r7:1,((r4:1,r5:1)1:0.274079912266,((r2:1,r3:1)1:0.232824169025,(r0:1,r1:1)0.64:0.0229498697541)0.78:0.0304276400579)0.89:0.0408219945203):0); 0.0 0.0
1000 10000.0 22 12.581714879715975 5.943 952 (r3:1,((r0:1,(r1:1,((r4:1,r5:1)1:0.266675492522,(r7:1,r6:1)0.57:0.0169383516346)0.96:0.0518981357666)0.58:0.0184636140847)1:0.279920067116,r2:1):0); 0.20088165898146854 0.11428571428571432 (r5:1,((r6:1,(r7:1,((r3:1,r2:1)1:0.255169289335,(r1:1,r0:1)0.77:0.0308310866621)0.87:0.0390247739918)0.51:0.0173362915124)1:0.252619369447,r4:1):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 23 12.941019840430652 5.842 937 (r1:1,(r0:1,((r3:1,r2:1)1:0.241321001425,((r6:1,r7:1)0.85:0.0355909451027,(r5:1,r4:1)1:0.267654205593)0.9:0.0412357289477)0.54:0.0144647512867):0); 0.0 0.0 (r4:1,(r5:1,(((r0:1,r1:1)0.71:0.025892703233,(r3:1,r2:1)1:0.250454881015)0.83:0.0346617103757,(r6:1,r7:1)0.89:0.0412484827245)1:0.286907778956):0); 0.0 0.0
1000 10000.0 24 12.631647444751296 6.084 947 (r1:1,(r0:1,((r2:1,r3:1)1:0.233956673096,((r4:1,r5:1)1:0.234193387501,(r7:1,r6:1)0.69:0.0240122746422)0.88:0.0385066824196)0.89:0.0404552411032):0); 0.0 0.0 (r6:1,(r7:1,((r4:1,r5:1)1:0.264354442635,((r3:1,r2:1)1:0.237976930525,(r0:1,r1:1)0.66:0.0251672849163)0.83:0.0358043737212)0.88:0.039794990754):0); 0.0 0.0
1000 10000.0 25 12.709761559713312 5.883 945 (r0:1,(((r3:1,r2:1)1:0.263745087495,(r7:1,(r6:1,(r5:1,r4:1)1:0.233814671344)0.37:0.00237544651301)0.77:0.0340393544113)0.55:0.0154154120674,r1:1):0); 0.20088165898146854 0.11428571428571432 (r0:1,(((r2:1,r3:1)1:0.284593266907,(r6:1,(r7:1,(r4:1,r5:1)1:0.232303203564)0.52:0.0137277762994)0.63:0.0211295657795)0.9:0.0422327636233,r1:1):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 26 12.647557810395657 5.994 951 (r4:1,(((r6:1,r7:1)0.88:0.0390908514558,((r0:1,r1:1)0.37:0.00275103337189,(r2:1,r3:1)1:0.225237400228)0.97:0.0547959249388)1:0.217757234448,r5:1):0); 0.0 0.0 (r6:1,(((r5:1,r4:1)1:0.22009387825,(r0:1,(r1:1,(r3:1,r2:1)1:0.249032851385)0.47:0.0118133695232)0.95:0.0520791490449)0.88:0.0401176941644,r7:1):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 27 12.748661532598359 5.965 945 (r2:1,(((r1:1,r0:1)0.71:0.024972059724,((r7:1,r6:1)0.74:0.0280495770597,(r4:1,r5:1)1:0.249220503904)0.9:0.0416262014243)1:0.257425183134,r3:1):0); 0.0 0.0 (r3:1,(r2:1,((r0:1,r1:1)0.83:0.0367141145078,((r4:1,r5:1)1:0.235332498902,(r7:1,r6:1)0.87:0.0391682761432)0.67:0.0232295796086)1:0.279597331591):0); 0.0 0.0
1000 10000.0 28 12.831544491015746 5.864 946 (r1:1,(r0:1,(((r5:1,r4:1)1:0.228527649965,(r6:1,r7:1)0.81:0.0322966876909)0.95:0.0483859626531,(r2:1,r3:1)1:0.252108592554)0.68:0.023436845452):0); 0.0 0.0 (r6:1,(r7:1,(((r2:1,r3:1)1:0.247083508527,(r0:1,r1:1)0.86:0.0378314732229)0.92:0.0449174286608,(r5:1,r4:1)1:0.238418474371)0.57:0.0166736693271):0); 0.0 0.0
1000 10000.0 29 12.701274384210972 6.023 956 (r3:1,(r2:1,((r0:1,r1:1)0.81:0.0330708313332,((r6:1,r7:1)0.38:0.00312676134926,(r5:1,r4:1)1:0.25839488018)0.81:0.0333612897754)1:0.281457727696):0); 0.0 0.0 (r0:1,(((r2:1,r3:1)1:0.276803954305,(r6:1,(r7:1,(r4:1,r5:1)1:0.225332078059)0.42:0.00628703966916)0.87:0.03881284839)0.6:0.0188760090703,r1:1):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 2 13.04632754445249 5.894 954 (r6:1,(((r5:1,r4:1)1:0.252108592554,((r1:1,r0:1)0.98:0.0591584145066,(r2:1,r3:1)1:0.224533752961)0.89:0.0399677453591)0.68:0.0245880351417,r7:1):0); 0.0 0.0 (r5:1,(r4:1,((r6:1,r7:1)0.68:0.0242044894143,((r1:1,r0:1)1:0.0796481525293,(r3:1,r2:1)1:0.261443925562)0.64:0.0207734931708)1:0.261826286797):0); 0.0 0.0
1000 10000.0 30 12.680455172357892 6.075 954 (r5:1,(r4:1,((r6:1,r7:1)0.94:0.0471088860023,((r0:1,r1:1)0.86:0.0367562200452,(r2:1,r3:1)1:0.252349643537)0.92:0.0430918326408)1:0.234193387501):0); 0.0 0.0 (r2:1,(((r0:1,r1:1)0.59:0.0217873541849,((r6:1,r7:1)0.85:0.0385630347343,(r5:1,r4:1)1:0.236583931748)0.98:0.0603731813988)1:0.280445028718,r3:1):0); 0.0 0.0
1000 10000.0 31 12.767330344399092 6.033 949 (r4:1,(r5:1,(r6:1,(r7:1,((r2:1,r3:1)1:0.237038339633,(r1:1,r0:1)0.83:0.0340393544113)0.98:0.057173105139)0.41:0.00670323574976)1:0.25408692802):0); 0.20088165898146854 0.11428571428571432 (r2:1,(r3:1,(((r7:1,r6:1)0.61:0.0191479000834,(r5:1,r4:1)1:0.208556009921)0.98:0.0585246449918,(r0:1,r1:1)0.45:0.0107335556431)1:0.266247212501):0); 0.0 0.0
