,net,trees,admix,src_node,dest_node,pos_as_prop,pos_as_prop_rand,gamma,plot_admix
69,snaq-gt-1e3_imb-30-snaq-p548876.snaq.net-1.networks,"((r7:1,r6:1.39260038206):0.182307136494,r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1):0.148705718738):0.149539413577):0.010793188579):0.0199111145177);","[(['r4', 'r3', 'r2', 'r0', 'r1'], ['r6'], 0.5, {}, '0.0442')]","['r4', 'r3', 'r2', 'r0', 'r1']",['r6'],0.5,0.2676991127778052,0.0442,"(['r4', 'r3', 'r2', 'r0', 'r1'], ['r6'], 0.2676991127778052, {'stroke': array((0.21609412, 0.50740392, 0.72889412, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0884, 'stroke-width': 2})"
70,snaq-gt-1e3_imb-42-snaq-p548876.snaq.net-1.networks,"(r1:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:2):0.177964096949):0.00838798361768):0.0113999788894):0.149588436336,r2:1.25732303493):0.169904263483,r0:1);","[(['r7'], ['r2'], 0.5, {}, '0.0674')]",['r7'],['r2'],0.5,0.0845155904556838,0.0674,"(['r7'], ['r2'], 0.0845155904556838, {'stroke': array((0.26704314, 0.61248627, 0.70842353, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1348, 'stroke-width': 2})"
71,snaq-gt-1e3_imb-4-snaq-p548876.snaq.net-1.networks,"((r2:1,((r4:1,r3:1):0.00888687335201,(r5:1,(r6:1,r7:1.11371054341):0.145170099265):0.0161312341423):0.149837086525):0.167208366058,r0:1,r1:2);","[(['r1'], ['r7'], 0.5, {}, '0.0571')]",['r1'],['r7'],0.5,0.46974879650205736,0.0571,"(['r1'], ['r7'], 0.46974879650205736, {'stroke': array((0.22503529, 0.56563137, 0.72781176, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1142, 'stroke-width': 2})"
72,snaq-gt-1e3_imb-71-snaq-p548876.snaq.net-1.networks,"(r1:1,(r2:1,((r3:1,((r6:1,r7:1):0.134805732498,r5:4.22274861598):0.0179355367814):0.00894718816106,r4:2):0.130712498134):0.161514257175,r0:1);","[(['r4'], ['r5'], 0.5, {}, '0.0143')]",['r4'],['r5'],0.5,0.050486268454794314,0.0143,"(['r4'], ['r5'], 0.050486268454794314, {'stroke': array((0.31927843, 0.37373333, 0.66557647, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0286, 'stroke-width': 2})"
74,snaq-gt-1e3_imb-1-snaq-p548876.snaq.net-1.networks,"(r1:1,r0:1,(r2:1,((r4:1,r3:1):0.00472159421016,(r5:1,(r6:1,r7:1.05794204716):0.184314696728):0.0135200623397):0.148104575487):0.152281109078);","[(['r7'], ['r2', 'r4', 'r3', 'r5', 'r6', 'r7'], 0.5, {}, '0.109')]",['r7'],"['r2', 'r4', 'r3', 'r5', 'r6', 'r7']",0.5,0.631578201997487,0.109,"(['r7'], ['r2', 'r4', 'r3', 'r5', 'r6', 'r7'], 0.631578201997487, {'stroke': array((0.44870588, 0.77984314, 0.64635294, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.218, 'stroke-width': 2})"
75,snaq-gt-1e3_imb-39-snaq-p548876.snaq.net-1.networks,"((r2:1,(r4:1,((r5:1,(r6:1,r7:1):0.161874377639):9.59419466023e-08,r3:1.47481724309):0.00615671617488):0.152817973584):0.16034801089,r1:1,r0:2);","[(['r0'], ['r3'], 0.5, {}, '0.028')]",['r0'],['r3'],0.5,0.4686736419302844,0.028,"(['r0'], ['r3'], 0.4686736419302844, {'stroke': array((0.272, 0.43498039, 0.69458824, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.056, 'stroke-width': 2})"
76,snaq-gt-1e3_imb-53-snaq-p548876.snaq.net-1.networks,"((r2:1,((r3:1,r4:1):0.0165773984925,(r5:1,(r7:1,r6:1.61875567059):0.137595890957):0.0187197240136):0.137038105478):0.184983212741,r0:1,r1:2);","[(['r1'], ['r6'], 0.5, {}, '0.0178')]",['r1'],['r6'],0.5,0.47907030634712144,0.0178,"(['r1'], ['r6'], 0.47907030634712144, {'stroke': array((0.3072, 0.38938039, 0.67298824, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0356, 'stroke-width': 2})"
77,snaq-gt-1e3_imb-28-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.143523848157):0.0139183669036):0.0188706211952):0.145162121292):0.158905179739,r0:1,r1:4.96676322164);","[(['r4', 'r5', 'r6', 'r7'], ['r1'], 0.5, {}, '0.0203')]","['r4', 'r5', 'r6', 'r7']",['r1'],0.5,0.5799713569189744,0.0203,"(['r4', 'r5', 'r6', 'r7'], ['r1'], 0.5799713569189744, {'stroke': array((0.29857255, 0.40055686, 0.67828235, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0406, 'stroke-width': 2})"
78,snaq-gt-1e3_imb-41-snaq-p548876.snaq.net-1.networks,"((r2:1,((r5:1,(r6:1,r7:1):0.139465486651):0.0091128169525,(r4:1,r3:1.07659976919):0.0147748706227):0.158612153142):0.196130721346,r1:1,r0:2);","[(['r0'], ['r3'], 0.5, {}, '0.118')]",['r0'],['r3'],0.5,0.5423471440836473,0.118,"(['r0'], ['r3'], 0.5423471440836473, {'stroke': array((0.49741176, 0.79890196, 0.64564706, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.236, 'stroke-width': 2})"
79,snaq-gt-1e3_imb-72-snaq-p548876.snaq.net-1.networks,"((r4:1,(r5:1,(r6:1,r7:1.06648541464):0.138018578864):0.0246506080951):0.00911900443241,r3:1,(r2:1,(r0:1,r1:1):0.16294090458):1.11954568879);","[(['r2', 'r0', 'r1'], ['r7'], 0.5, {}, '0.0458')]","['r2', 'r0', 'r1']",['r7'],0.5,0.3529807655394933,0.0458,"(['r2', 'r0', 'r1'], ['r7'], 0.3529807655394933, {'stroke': array((0.21057255, 0.51455686, 0.73228235, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0916, 'stroke-width': 2})"
