,net,trees,admix,src_node,dest_node,pos_as_prop,pos_as_prop_rand,gamma,plot_admix
87,snaq-true-gt-unlinked-imb-57-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:2):0.157486464615):0.00882691537689):0.00486401297344):0.148496966553):0.146220168212,r0:1,r1:1.43137180331);","[(['r6'], ['r1'], 0.5, {}, '0.0251')]",['r6'],['r1'],0.5,0.11593376880612372,0.0251,"(['r6'], ['r1'], 0.11593376880612372, {'stroke': array((0.28200784, 0.42201569, 0.68844706, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0502, 'stroke-width': 2})"
88,snaq-true-gt-unlinked-imb-89-snaq-p548876.snaq.net-1.networks,"(r0:1,((r3:1,((r7:1,r6:1):0.138554518112,(r5:1,r4:2):0.0142006227936):0.0133940842597):0.144597131229,r2:1.54143526603):0.141028980114,r1:1);","[(['r4'], ['r2'], 0.5, {}, '0.0394')]",['r4'],['r2'],0.5,0.6853032492018435,0.0394,"(['r4'], ['r2'], 0.6853032492018435, {'stroke': array((0.23265882, 0.4859451, 0.71872941, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0788, 'stroke-width': 2})"
89,snaq-true-gt-unlinked-imb-75-snaq-p548876.snaq.net-1.networks,"((r2:1,((r5:1,(r6:1,r7:1):0.148050526593):0.0133156515074,(r3:1,r4:1.07006486129):0.00289591630759):0.150472241418):0.178612487264,r0:1,r1:2);","[(['r1'], ['r4'], 0.5, {}, '0.0986')]",['r1'],['r4'],0.5,0.9968536983344815,0.0986,"(['r1'], ['r4'], 0.9968536983344815, {'stroke': array((0.3942902, 0.75441569, 0.64969412, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1972, 'stroke-width': 2})"
90,snaq-true-gt-unlinked-imb-73-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1):0.156271332918):0.00779724878543):0.00610828081683):0.142997951367):0.161221974582,r0:1,r1:1.30996426853);","[(['r7', 'r6'], ['r1'], 0.5, {}, '0.0307')]","['r7', 'r6']",['r1'],0.5,0.9969457634051995,0.0307,"(['r7', 'r6'], ['r1'], 0.9969457634051995, {'stroke': array((0.26268235, 0.44705098, 0.70030588, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0614, 'stroke-width': 2})"
91,snaq-true-gt-unlinked-imb-58-snaq-p548876.snaq.net-1.networks,"(r1:1,(r2:1,((r4:1,(r5:1,(r7:1,r6:1.02530294234):0.142145600441):0.018334294353):0.011750243664,r3:2):0.130666297703):0.142792442012,r0:1);","[(['r3'], ['r6'], 0.5, {}, '0.0967')]",['r3'],['r6'],0.5,0.7638430756216488,0.0967,"(['r3'], ['r6'], 0.7638430756216488, {'stroke': array((0.38654118, 0.74577255, 0.65327059, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1934, 'stroke-width': 2})"
92,snaq-true-gt-unlinked-imb-90-snaq-p548876.snaq.net-1.networks,"(r1:1,(r2:1,((r5:1,(r6:1,r7:1.71031108375):0.148722326521):0.0224655773136,(r4:1,r3:1):0.00280888346352):0.126377601511):0.146760216936,r0:1);","[(['r4', 'r3'], ['r7'], 0.5, {}, '0.0136')]","['r4', 'r3']",['r7'],0.5,0.5454071423872808,0.0136,"(['r4', 'r3'], ['r7'], 0.5454071423872808, {'stroke': array((0.32169412, 0.37060392, 0.66409412, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0272, 'stroke-width': 2})"
93,snaq-true-gt-unlinked-imb-85-snaq-p548876.snaq.net-1.networks,"((r6:1,r7:1):0.145433643571,(r4:1,((r2:1,(r1:1,r0:2):0.148654432039):0.1561447899,r5:7.75696520519):0.00345242416723):0.00420507828418,r3:1);","[(['r0'], ['r5'], 0.5, {}, '0.0107')]",['r0'],['r5'],0.5,0.7024170251308433,0.0107,"(['r0'], ['r5'], 0.7024170251308433, {'stroke': array((0.33170196, 0.35763922, 0.65795294, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0214, 'stroke-width': 2})"
94,snaq-true-gt-unlinked-imb-92-snaq-p548876.snaq.net-1.networks,"(r0:1,r1:1,(r2:1,(r3:1,((r6:1,r7:1):0.132840954205,(r5:1,r4:2):0.0137692988987):0.0032427137043):0.157398866855):0.149291667118);","[(['r4'], ['r2', 'r3', 'r6', 'r7', 'r5', 'r4'], 0.5, {}, '0.0716')]",['r4'],"['r2', 'r3', 'r6', 'r7', 'r5', 'r4']",0.5,0.7393711548380842,0.0716,"(['r4'], ['r2', 'r3', 'r6', 'r7', 'r5', 'r4'], 0.7393711548380842, {'stroke': array((0.28417255, 0.63159216, 0.70051765, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1432, 'stroke-width': 2})"
95,snaq-true-gt-unlinked-imb-24-snaq-p548876.snaq.net-1.networks,"(r1:1,(r2:1,((r3:1,((r6:1,r7:1):0.130710944507,r5:6.18482306356):0.0155014500725):0.0174615172394,r4:2):0.135153118105):0.150736350444,r0:1);","[(['r4'], ['r5'], 0.5, {}, '0.0164')]",['r4'],['r5'],0.5,0.9243564843580965,0.0164,"(['r4'], ['r5'], 0.9243564843580965, {'stroke': array((0.31203137, 0.38312157, 0.67002353, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0328, 'stroke-width': 2})"
96,snaq-true-gt-unlinked-imb-35-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1.48571440825):0.143363341794):0.00897710719431):0.00160896719411):0.159449415945):0.130030338163,r0:1,r1:2);","[(['r1'], ['r6'], 0.5, {}, '0.0132')]",['r1'],['r6'],0.5,0.670716218141397,0.0132,"(['r1'], ['r6'], 0.670716218141397, {'stroke': array((0.32307451, 0.36881569, 0.66324706, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0264, 'stroke-width': 2})"
97,snaq-true-gt-unlinked-imb-76-snaq-p548876.snaq.net-1.networks,"(((r6:1,r7:1):0.144428533881,r5:1.63617753936):0.0101509650567,r4:1,(r3:1,(r2:1,(r0:1,r1:1):0.137331802177):0.13740339925):0.0108460612815);","[(['r3', 'r2', 'r0', 'r1'], ['r5'], 0.5, {}, '0.0081')]","['r3', 'r2', 'r0', 'r1']",['r5'],0.5,0.10015906894937321,0.0081,"(['r3', 'r2', 'r0', 'r1'], ['r5'], 0.10015906894937321, {'stroke': array((0.34067451, 0.34601569, 0.65244706, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0162, 'stroke-width': 2})"
98,snaq-true-gt-unlinked-imb-97-snaq-p548876.snaq.net-1.networks,"(r1:1,r0:1,(r2:1,(r4:1,((r6:1,r7:1):0.142536038236,(r5:1,r3:1):0.00240365100952):0.0103681735092):0.138212498838):0.14314973469);","[(['r5', 'r3'], ['r2', 'r4', 'r6', 'r7', 'r5', 'r3'], 0.5, {}, '0.0782')]","['r5', 'r3']","['r2', 'r4', 'r6', 'r7', 'r5', 'r3']",0.5,0.12067197447679656,0.0782,"(['r5', 'r3'], ['r2', 'r4', 'r6', 'r7', 'r5', 'r3'], 0.12067197447679656, {'stroke': array((0.3110902, 0.66161569, 0.68809412, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1564, 'stroke-width': 2})"
99,snaq-true-gt-unlinked-imb-37-snaq-p548876.snaq.net-1.networks,"(r0:1,((r3:1,(r4:1,((r6:1,r7:1):0.138202011427,r5:2):0.0141732418838):0.0148193982035):0.131123668966,r2:1.13447489094):0.143221384997,r1:1);","[(['r5'], ['r2'], 0.5, {}, '0.0494')]",['r5'],['r2'],0.5,0.0514888530549622,0.0494,"(['r5'], ['r2'], 0.0514888530549622, {'stroke': array((0.19814902, 0.53065098, 0.73990588, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0988, 'stroke-width': 2})"
