,net,trees,admix,src_node,dest_node,pos_as_prop,pos_as_prop_rand,gamma,plot_admix
0,snaq-gt-1e5-imb-97-snaq-p548876.snaq.net-1.networks,"(((r3:1,(r4:1,(r5:1,(r7:1,r6:1):0.552053278981):0.0197896513485):0.0170360715394):0.463779681594,r2:2):0.844755128489,r0:1,r1:1.09308022517);","[(['r2'], ['r1'], 0.5, {}, '0.126')]",['r2'],['r1'],0.5,0.4337112989143038,0.126,"(['r2'], ['r1'], 0.4337112989143038, {'stroke': array((0.54070588, 0.81584314, 0.64501961, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.252, 'stroke-width': 2})"
1,snaq-gt-1e5-imb-13-snaq-p548876.snaq.net-1.networks,"(r0:1,(((r5:1,(r6:1,r7:1):0.546296550634):0.0040100588813,(r4:1,r3:1):0.0134654977953):0.629858082437,r2:1.2108305513):0.687829507363,r1:1);","[(['r4', 'r3'], ['r2'], 0.5, {}, '0.0608')]","['r4', 'r3']",['r2'],0.5,0.2627063779871912,0.0608,"(['r4', 'r3'], ['r2'], 0.2627063779871912, {'stroke': array((0.24012549, 0.58246275, 0.72084706, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1216, 'stroke-width': 2})"
2,snaq-gt-1e5-imb-70-snaq-p548876.snaq.net-1.networks,"(((r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.560332103167):0.0214780463984):0.0184324112316):0.437321264603,r2:2):0.88727831413,r0:1,r1:1.05288014834);","[(['r2'], ['r1'], 0.5, {}, '0.185')]",['r2'],['r1'],0.5,0.3556724571731763,0.185,"(['r2'], ['r1'], 0.3556724571731763, {'stroke': array((0.83254902, 0.93254902, 0.61019608, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.37, 'stroke-width': 2})"
3,snaq-gt-1e5-imb-44-snaq-p548876.snaq.net-1.networks,"((r0:1,(r2:1,(((r4:1,r5:1):0.00375077118608,(r6:1,r7:1):0.540939162668):0.00115814343336,r3:2):0.578921213886):0.726401818376):0.766795993133,r1:1);","[(['r3'], ['r0', 'r2', 'r3', 'r4', 'r5', 'r6', 'r7', 'r1'], 0.5, {}, '0.0202')]",['r3'],"['r0', 'r2', 'r3', 'r4', 'r5', 'r6', 'r7', 'r1']",0.5,0.9073747345627279,0.0202,"(['r3'], ['r0', 'r2', 'r3', 'r4', 'r5', 'r6', 'r7', 'r1'], 0.9073747345627279, {'stroke': array((0.29891765, 0.4001098, 0.67807059, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0404, 'stroke-width': 2})"
4,snaq-gt-1e5-imb-0-snaq-p548876.snaq.net-1.networks,"(r0:1,((r3:1,((r5:1,(r6:1,r7:1):0.535571759709):0.0196266784407,r4:2):0.0153843544267):0.552644957096,r2:5.46705148161):0.693315333404,r1:1);","[(['r4'], ['r2'], 0.5, {}, '0.0129')]",['r4'],['r2'],0.5,0.23827620654748893,0.0129,"(['r4'], ['r2'], 0.23827620654748893, {'stroke': array((0.3241098, 0.36747451, 0.66261176, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0258, 'stroke-width': 2})"
5,snaq-gt-1e5-imb-31-snaq-p548876.snaq.net-1.networks,"(((r3:1,(r1:1,r0:1):4.33063144031):0.00188440961234,(r4:1,(r5:1,(r7:1,r6:1):0.546562767956):0.0107447729108):0.0177742293912):5.90971811083,r2:1);","[(['r1', 'r0'], ['r3', 'r1', 'r0', 'r4', 'r5', 'r7', 'r6', 'r2'], 0.5, {}, '0.433')]","['r1', 'r0']","['r3', 'r1', 'r0', 'r4', 'r5', 'r7', 'r6', 'r2']",0.5,0.6258525211907529,0.433,"(['r1', 'r0'], ['r3', 'r1', 'r0', 'r4', 'r5', 'r7', 'r6', 'r2'], 0.6258525211907529, {'stroke': array((0.87662745, 0.30580392, 0.29380392, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.866, 'stroke-width': 2})"
6,snaq-gt-1e5-imb-5-snaq-p548876.snaq.net-1.networks,"((r4:1,(r5:1,((r7:1,r6:1):0.514874720712,(r2:1,(r0:1,r1:1):0.728945083719):9.99386340553):0.0206077982136):0.0539837844914):0.105053588391,r3:1);","[(['r2', 'r0', 'r1'], ['r4', 'r5', 'r7', 'r6', 'r2', 'r0', 'r1', 'r3'], 0.5, {}, '0.333')]","['r2', 'r0', 'r1']","['r4', 'r5', 'r7', 'r6', 'r2', 'r0', 'r1', 'r3']",0.5,0.6696425934446397,0.333,"(['r2', 'r0', 'r1'], ['r4', 'r5', 'r7', 'r6', 'r2', 'r0', 'r1', 'r3'], 0.6696425934446397, {'stroke': array((0.9934902, 0.74901961, 0.43639216, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.666, 'stroke-width': 2})"
7,snaq-gt-1e5-imb-24-snaq-p548876.snaq.net-1.networks,"((((r3:1,r4:1):0.00690149854299,(r5:1,(r6:1,r7:1):0.563919619457):0.0168818452884):0.483929423063,r2:2):0.813348221404,r0:1,r1:1.110422308);","[(['r2'], ['r1'], 0.5, {}, '0.122')]",['r2'],['r1'],0.5,0.7969066469818602,0.122,"(['r2'], ['r1'], 0.7969066469818602, {'stroke': array((0.51905882, 0.80737255, 0.64533333, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.244, 'stroke-width': 2})"
8,snaq-gt-1e5-imb-86-snaq-p548876.snaq.net-1.networks,"(r1:1,(((r4:1,r3:2):0.0176018977267,(r5:1,(r6:1,r7:1):0.554108755195):0.0131850914201):0.57256131109,r2:1.20701657302):0.700932299383,r0:1);","[(['r3'], ['r2'], 0.5, {}, '0.0416')]",['r3'],['r2'],0.5,0.02992653443023341,0.0416,"(['r3'], ['r2'], 0.02992653443023341, {'stroke': array((0.22506667, 0.49578039, 0.72338824, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0832, 'stroke-width': 2})"
9,snaq-gt-1e5-imb-35-snaq-p548876.snaq.net-1.networks,"(((r3:1,r2:8.39028084507):0.0111622888242,(r5:1,(r7:1,r6:1):0.523113744702):0.0152013921962):0.00452976474414,r4:1,(r1:1,r0:1):8.9105616415);","[(['r1', 'r0'], ['r2'], 0.5, {}, '0.442')]","['r1', 'r0']",['r2'],0.5,0.5835392018667555,0.442,"(['r1', 'r0'], ['r2'], 0.5835392018667555, {'stroke': array((0.8547451, 0.27262745, 0.30227451, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.884, 'stroke-width': 2})"
10,snaq-gt-1e5-imb-52-snaq-p548876.snaq.net-1.networks,"((r2:1,((r4:1,r3:2):0.0132970097712,(r5:1,(r7:1,r6:1):0.566953333291):0.00911418860632):0.581004961687):0.735851793629,r0:1,r1:1.83295256774);","[(['r3'], ['r1'], 0.5, {}, '0.0219')]",['r3'],['r1'],0.5,0.391910805486292,0.0219,"(['r3'], ['r1'], 0.391910805486292, {'stroke': array((0.29305098, 0.4077098, 0.68167059, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0438, 'stroke-width': 2})"
11,snaq-gt-1e5-imb-2-snaq-p548876.snaq.net-1.networks,"(((r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.515549857508):0.00697255354726):0.0346749150931):0.442302004207,r2:2):0.840459997411,r1:1,r0:1);","[(['r2'], ['r0'], 0.5, {}, '0.139')]",['r2'],['r0'],0.5,0.6513580832121906,0.139,"(['r2'], ['r0'], 0.6513580832121906, {'stroke': array((0.61105882, 0.84337255, 0.644, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.278, 'stroke-width': 2})"
12,snaq-gt-1e5-imb-20-snaq-p548876.snaq.net-1.networks,"(r1:1,(((r6:1,r7:1):0.561495874993,(r5:1,(r4:1,r3:2):0.0129872163592):0.0126707220822):0.611776823774,r2:1.01892118595):0.657855614975,r0:1);","[(['r3'], ['r2'], 0.5, {}, '0.0567')]",['r3'],['r2'],0.5,0.7627648227406464,0.0567,"(['r3'], ['r2'], 0.7627648227406464, {'stroke': array((0.22340392, 0.56381176, 0.72856471, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1134, 'stroke-width': 2})"
13,snaq-gt-1e5-imb-16-snaq-p548876.snaq.net-1.networks,"(r1:1,((((r4:1,r5:1):0.00808603589228,(r6:1,r7:1):0.547947559439):0.0195713411492,r3:1.106916204):0.729635968749,r2:2):0.531151673849,r0:1);","[(['r2'], ['r3'], 0.5, {}, '0.18')]",['r2'],['r3'],0.5,0.14000259663196357,0.18,"(['r2'], ['r3'], 0.14000259663196357, {'stroke': array((0.80941176, 0.92313725, 0.61490196, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.36, 'stroke-width': 2})"
14,snaq-gt-1e5-imb-12-snaq-p548876.snaq.net-1.networks,"(r1:1,((r3:1,((r5:1,(r6:1,r7:1):0.520650293074):0.0192878276203,r4:1.05616295373):0.00648663106457):0.713873967813,r2:2):0.569877064287,r0:1);","[(['r2'], ['r4'], 0.5, {}, '0.146')]",['r2'],['r4'],0.5,0.01238292280801312,0.146,"(['r2'], ['r4'], 0.01238292280801312, {'stroke': array((0.64894118, 0.85819608, 0.64345098, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.292, 'stroke-width': 2})"
15,snaq-gt-1e5-imb-54-snaq-p548876.snaq.net-1.networks,"(r0:1,(((r4:1,r3:2):0.0276479906084,(r5:1,(r6:1,r7:1):0.527829145206):0.00911230874006):0.602442473359,r2:1.09375122541):0.67027043131,r1:1);","[(['r3'], ['r2'], 0.5, {}, '0.0615')]",['r3'],['r2'],0.5,0.30896856348485036,0.0615,"(['r3'], ['r2'], 0.30896856348485036, {'stroke': array((0.24298039, 0.58564706, 0.71952941, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.123, 'stroke-width': 2})"
