,0
0,0.0
1,0.0
2,0.20410776171712283
3,0.20410776171712294
4,0.20410776171712283
5,0.20410776171712283
6,0.20410776171712294
7,0.20410776171712294
8,0.0
9,0.20410776171712283
10,0.19443359141936595
11,0.0
12,0.20410776171712283
13,0.20410776171712283
14,0.0
15,0.0
16,0.0
17,0.0
18,0.20410776171712294
19,0.20410776171712283
20,0.20410776171712283
21,0.0
22,0.0
23,0.20410776171712294
24,0.20410776171712283
25,0.0
26,0.19443359141936595
27,0.0
28,0.19443359141936595
29,0.0
30,0.0
31,0.20410776171712294
32,0.20410776171712283
33,0.20410776171712283
34,0.20410776171712294
35,0.20410776171712294
36,0.19443359141936595
37,0.20410776171712283
38,0.0
39,0.0
40,0.17556643393915264
41,0.0
42,0.0
43,0.19443359141936595
44,0.0
45,0.0
46,0.19443359141936595
47,0.0
48,0.0
49,0.0
50,0.34833084106647516
51,0.0
52,0.0
53,0.20410776171712283
54,0.19443359141936586
55,0.0
56,0.20410776171712283
57,0.20410776171712294
58,0.19443359141936595
59,0.20410776171712294
60,0.19443359141936586
61,0.19443359141936595
62,0.0
63,0.20410776171712283
64,0.17556643393915264
65,0.362141354931442
66,0.19443359141936595
67,0.0
68,0.0
69,0.19443359141936595
70,0.19443359141936595
71,0.0
72,0.19443359141936595
73,0.19443359141936586
74,0.19443359141936595
75,0.19443359141936595
76,0.19443359141936595
77,0.20410776171712283
78,0.19443359141936595
79,0.0
80,0.0
81,0.362141354931442
82,0.362141354931442
83,0.0
84,0.20410776171712283
85,0.0
86,0.20410776171712294
87,0.0
88,0.19443359141936595
89,0.0
90,0.20410776171712283
91,0.20410776171712283
92,0.20410776171712283
93,0.20410776171712283
94,0.0
95,0.0
96,0.20410776171712283
97,0.19443359141936595
98,0.19443359141936595
99,0.34833084106647516
