,0
0,0.19443359141936595
1,0.20410776171712294
2,0.1790338045715902
3,0.34833084106647516
4,0.0
5,0.29912715116429595
6,0.19443359141936595
7,0.0
8,0.29942994635879155
9,0.34833084106647516
10,0.0
11,0.0
12,0.29942994635879155
13,0.20410776171712283
14,0.0
15,0.1790338045715902
16,0.0
17,0.19443359141936595
18,0.0
19,0.1790338045715902
20,0.0
21,0.20410776171712283
22,0.1790338045715902
23,0.17556643393915275
24,0.17903380457159013
25,0.0
26,0.17556643393915275
27,0.17556643393915275
28,0.0
29,0.29912715116429595
30,0.19443359141936595
31,0.17903380457159013
32,0.0
33,0.19443359141936595
34,0.0
35,0.0
36,0.20410776171712294
37,0.0
38,0.19443359141936595
39,0.34833084106647516
40,0.20410776171712283
41,0.0
42,0.19443359141936595
43,0.0
44,0.0
45,0.0
46,0.0
47,0.19443359141936595
48,0.19443359141936595
49,0.20410776171712283
50,0.19443359141936595
51,0.17556643393915275
52,0.0
53,0.17556643393915275
54,0.19443359141936595
55,0.3340250044126062
56,0.20410776171712283
57,0.0
58,0.17903380457159013
59,0.20410776171712294
60,0.19443359141936595
61,0.1790338045715902
62,0.0
63,0.0
64,0.0
65,0.17556643393915275
66,0.0
67,0.0
68,0.0
69,0.20410776171712283
70,0.1790338045715902
71,0.19443359141936595
72,0.0
73,0.0
74,0.17556643393915264
75,0.0
76,0.0
77,0.0
78,0.17556643393915264
79,0.0
80,0.0
81,0.0
82,0.0
83,0.1790338045715902
84,0.0
85,0.29198726827086385
86,0.20410776171712283
87,0.0
88,0.19443359141936595
89,0.19443359141936595
90,0.0
91,0.0
92,0.0
93,0.0
94,0.17556643393915264
95,0.19443359141936595
96,0.0
97,0.0
98,0.0
99,0.19443359141936586
