qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.7184,0.1396,0.142,5000.0
2,r0,r1,r2,r4,0.719,0.142,0.139,5000.0
3,r0,r1,r3,r4,0.8944,0.0528,0.0528,5000.0
4,r0,r2,r3,r4,0.7194,0.136,0.1446,5000.0
5,r1,r2,r3,r4,0.7174,0.1358,0.1468,5000.0
6,r0,r1,r2,r5,0.7188,0.141,0.1402,5000.0
7,r0,r1,r3,r5,0.8954,0.052,0.0526,5000.0
8,r0,r2,r3,r5,0.7136,0.1414,0.145,5000.0
9,r1,r2,r3,r5,0.7144,0.1414,0.1442,5000.0
10,r0,r1,r4,r5,0.8932,0.0524,0.0544,5000.0
11,r0,r2,r4,r5,0.724,0.1366,0.1394,5000.0
12,r1,r2,r4,r5,0.723,0.1382,0.1388,5000.0
13,r0,r3,r4,r5,0.355,0.3122,0.3328,5000.0
14,r1,r3,r4,r5,0.3534,0.3122,0.3344,5000.0
15,r2,r3,r4,r5,0.3572,0.3102,0.3326,5000.0
16,r0,r1,r2,r6,0.719,0.141,0.14,5000.0
17,r0,r1,r3,r6,0.9004,0.0522,0.0474,5000.0
18,r0,r2,r3,r6,0.7226,0.1344,0.143,5000.0
19,r1,r2,r3,r6,0.7214,0.1322,0.1464,5000.0
20,r0,r1,r4,r6,0.8986,0.0522,0.0492,5000.0
21,r0,r2,r4,r6,0.737,0.1294,0.1336,5000.0
22,r1,r2,r4,r6,0.7336,0.1298,0.1366,5000.0
23,r0,r3,r4,r6,0.3518,0.3124,0.3358,5000.0
24,r1,r3,r4,r6,0.3512,0.3118,0.337,5000.0
25,r2,r3,r4,r6,0.3564,0.3116,0.332,5000.0
26,r0,r1,r5,r6,0.9042,0.0492,0.0466,5000.0
27,r0,r2,r5,r6,0.7446,0.1266,0.1288,5000.0
28,r1,r2,r5,r6,0.7418,0.1262,0.132,5000.0
29,r0,r3,r5,r6,0.3702,0.3108,0.319,5000.0
30,r1,r3,r5,r6,0.3698,0.3136,0.3166,5000.0
31,r2,r3,r5,r6,0.3744,0.307,0.3186,5000.0
32,r0,r4,r5,r6,0.3482,0.3134,0.3384,5000.0
33,r1,r4,r5,r6,0.35,0.3134,0.3366,5000.0
34,r2,r4,r5,r6,0.3484,0.3194,0.3322,5000.0
35,r3,r4,r5,r6,0.3606,0.3138,0.3256,5000.0
36,r0,r1,r2,r7,0.7184,0.142,0.1396,5000.0
37,r0,r1,r3,r7,0.8986,0.0514,0.05,5000.0
38,r0,r2,r3,r7,0.7188,0.1366,0.1446,5000.0
39,r1,r2,r3,r7,0.7214,0.1346,0.144,5000.0
40,r0,r1,r4,r7,0.9008,0.0504,0.0488,5000.0
41,r0,r2,r4,r7,0.7382,0.1276,0.1342,5000.0
42,r1,r2,r4,r7,0.7352,0.1286,0.1362,5000.0
43,r0,r3,r4,r7,0.3514,0.316,0.3326,5000.0
44,r1,r3,r4,r7,0.3518,0.3166,0.3316,5000.0
45,r2,r3,r4,r7,0.3528,0.3156,0.3316,5000.0
46,r0,r1,r5,r7,0.9032,0.0488,0.048,5000.0
47,r0,r2,r5,r7,0.7434,0.1258,0.1308,5000.0
48,r1,r2,r5,r7,0.7422,0.1268,0.131,5000.0
49,r0,r3,r5,r7,0.371,0.3164,0.3126,5000.0
50,r1,r3,r5,r7,0.3706,0.319,0.3104,5000.0
51,r2,r3,r5,r7,0.374,0.3116,0.3144,5000.0
52,r0,r4,r5,r7,0.3488,0.3182,0.333,5000.0
53,r1,r4,r5,r7,0.3508,0.3192,0.33,5000.0
54,r2,r4,r5,r7,0.3488,0.3218,0.3294,5000.0
55,r3,r4,r5,r7,0.3626,0.3162,0.3212,5000.0
56,r0,r1,r6,r7,0.9552,0.0196,0.0252,5000.0
57,r0,r2,r6,r7,0.8824,0.0578,0.0598,5000.0
58,r1,r2,r6,r7,0.8816,0.062,0.0564,5000.0
59,r0,r3,r6,r7,0.704,0.153,0.143,5000.0
60,r1,r3,r6,r7,0.6998,0.1568,0.1434,5000.0
61,r2,r3,r6,r7,0.7,0.1536,0.1464,5000.0
62,r0,r4,r6,r7,0.6862,0.1596,0.1542,5000.0
63,r1,r4,r6,r7,0.6872,0.1618,0.151,5000.0
64,r2,r4,r6,r7,0.6912,0.1554,0.1534,5000.0
65,r3,r4,r6,r7,0.6864,0.1552,0.1584,5000.0
66,r0,r5,r6,r7,0.67,0.165,0.165,5000.0
67,r1,r5,r6,r7,0.6686,0.167,0.1644,5000.0
68,r2,r5,r6,r7,0.6742,0.1622,0.1636,5000.0
69,r3,r5,r6,r7,0.6662,0.1616,0.1722,5000.0
70,r4,r5,r6,r7,0.67,0.1626,0.1674,5000.0
