qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.7196,0.1374,0.143,5000.0
2,r0,r1,r2,r4,0.7196,0.1372,0.1432,5000.0
3,r0,r1,r3,r4,0.889,0.0572,0.0538,5000.0
4,r0,r2,r3,r4,0.7082,0.1468,0.145,5000.0
5,r1,r2,r3,r4,0.711,0.1426,0.1464,5000.0
6,r0,r1,r2,r5,0.7198,0.1382,0.142,5000.0
7,r0,r1,r3,r5,0.8922,0.0562,0.0516,5000.0
8,r0,r2,r3,r5,0.7058,0.1502,0.144,5000.0
9,r1,r2,r3,r5,0.7124,0.144,0.1436,5000.0
10,r0,r1,r4,r5,0.8958,0.0534,0.0508,5000.0
11,r0,r2,r4,r5,0.7138,0.1454,0.1408,5000.0
12,r1,r2,r4,r5,0.7174,0.1422,0.1404,5000.0
13,r0,r3,r4,r5,0.3656,0.3096,0.3248,5000.0
14,r1,r3,r4,r5,0.3652,0.3088,0.326,5000.0
15,r2,r3,r4,r5,0.3662,0.3074,0.3264,5000.0
16,r0,r1,r2,r6,0.7196,0.1372,0.1432,5000.0
17,r0,r1,r3,r6,0.8986,0.0504,0.051,5000.0
18,r0,r2,r3,r6,0.7148,0.1362,0.149,5000.0
19,r1,r2,r3,r6,0.7186,0.1344,0.147,5000.0
20,r0,r1,r4,r6,0.908,0.046,0.046,5000.0
21,r0,r2,r4,r6,0.7252,0.1358,0.139,5000.0
22,r1,r2,r4,r6,0.727,0.1334,0.1396,5000.0
23,r0,r3,r4,r6,0.345,0.3212,0.3338,5000.0
24,r1,r3,r4,r6,0.3454,0.3202,0.3344,5000.0
25,r2,r3,r4,r6,0.3522,0.32,0.3278,5000.0
26,r0,r1,r5,r6,0.9044,0.0484,0.0472,5000.0
27,r0,r2,r5,r6,0.7268,0.1326,0.1406,5000.0
28,r1,r2,r5,r6,0.7288,0.1308,0.1404,5000.0
29,r0,r3,r5,r6,0.359,0.3172,0.3238,5000.0
30,r1,r3,r5,r6,0.3622,0.3148,0.323,5000.0
31,r2,r3,r5,r6,0.3632,0.3192,0.3176,5000.0
32,r0,r4,r5,r6,0.3342,0.3152,0.3506,5000.0
33,r1,r4,r5,r6,0.3318,0.3142,0.354,5000.0
34,r2,r4,r5,r6,0.3286,0.325,0.3464,5000.0
35,r3,r4,r5,r6,0.3436,0.3148,0.3416,5000.0
36,r0,r1,r2,r7,0.7194,0.1382,0.1424,5000.0
37,r0,r1,r3,r7,0.8938,0.0518,0.0544,5000.0
38,r0,r2,r3,r7,0.7178,0.1364,0.1458,5000.0
39,r1,r2,r3,r7,0.7212,0.1358,0.143,5000.0
40,r0,r1,r4,r7,0.9036,0.0464,0.05,5000.0
41,r0,r2,r4,r7,0.7242,0.1344,0.1414,5000.0
42,r1,r2,r4,r7,0.7252,0.1354,0.1394,5000.0
43,r0,r3,r4,r7,0.3452,0.3172,0.3376,5000.0
44,r1,r3,r4,r7,0.3466,0.3168,0.3366,5000.0
45,r2,r3,r4,r7,0.347,0.316,0.337,5000.0
46,r0,r1,r5,r7,0.9024,0.0466,0.051,5000.0
47,r0,r2,r5,r7,0.7306,0.131,0.1384,5000.0
48,r1,r2,r5,r7,0.731,0.134,0.135,5000.0
49,r0,r3,r5,r7,0.3712,0.3092,0.3196,5000.0
50,r1,r3,r5,r7,0.3742,0.3084,0.3174,5000.0
51,r2,r3,r5,r7,0.3748,0.3084,0.3168,5000.0
52,r0,r4,r5,r7,0.3352,0.315,0.3498,5000.0
53,r1,r4,r5,r7,0.336,0.3164,0.3476,5000.0
54,r2,r4,r5,r7,0.3332,0.319,0.3478,5000.0
55,r3,r4,r5,r7,0.3478,0.3152,0.337,5000.0
56,r0,r1,r6,r7,0.9578,0.0206,0.0216,5000.0
57,r0,r2,r6,r7,0.8712,0.066,0.0628,5000.0
58,r1,r2,r6,r7,0.8718,0.0662,0.062,5000.0
59,r0,r3,r6,r7,0.697,0.1494,0.1536,5000.0
60,r1,r3,r6,r7,0.6996,0.147,0.1534,5000.0
61,r2,r3,r6,r7,0.701,0.1454,0.1536,5000.0
62,r0,r4,r6,r7,0.6818,0.1568,0.1614,5000.0
63,r1,r4,r6,r7,0.683,0.1564,0.1606,5000.0
64,r2,r4,r6,r7,0.6806,0.153,0.1664,5000.0
65,r3,r4,r6,r7,0.6792,0.1632,0.1576,5000.0
66,r0,r5,r6,r7,0.6664,0.1682,0.1654,5000.0
67,r1,r5,r6,r7,0.667,0.1692,0.1638,5000.0
68,r2,r5,r6,r7,0.6696,0.165,0.1654,5000.0
69,r3,r5,r6,r7,0.6602,0.1766,0.1632,5000.0
70,r4,r5,r6,r7,0.6748,0.1654,0.1598,5000.0
