qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.72,0.1374,0.1426,5000.0
2,r0,r1,r2,r4,0.7192,0.1332,0.1476,5000.0
3,r0,r1,r3,r4,0.8978,0.0452,0.057,5000.0
4,r0,r2,r3,r4,0.702,0.1486,0.1494,5000.0
5,r1,r2,r3,r4,0.7146,0.149,0.1364,5000.0
6,r0,r1,r2,r5,0.7176,0.1362,0.1462,5000.0
7,r0,r1,r3,r5,0.8966,0.044,0.0594,5000.0
8,r0,r2,r3,r5,0.7076,0.143,0.1494,5000.0
9,r1,r2,r3,r5,0.7118,0.1486,0.1396,5000.0
10,r0,r1,r4,r5,0.8958,0.0498,0.0544,5000.0
11,r0,r2,r4,r5,0.713,0.139,0.148,5000.0
12,r1,r2,r4,r5,0.7238,0.136,0.1402,5000.0
13,r0,r3,r4,r5,0.3512,0.3216,0.3272,5000.0
14,r1,r3,r4,r5,0.358,0.3196,0.3224,5000.0
15,r2,r3,r4,r5,0.3546,0.324,0.3214,5000.0
16,r0,r1,r2,r6,0.7208,0.1342,0.145,5000.0
17,r0,r1,r3,r6,0.901,0.0468,0.0522,5000.0
18,r0,r2,r3,r6,0.7126,0.141,0.1464,5000.0
19,r1,r2,r3,r6,0.717,0.1408,0.1422,5000.0
20,r0,r1,r4,r6,0.9042,0.0498,0.046,5000.0
21,r0,r2,r4,r6,0.7202,0.1352,0.1446,5000.0
22,r1,r2,r4,r6,0.7292,0.127,0.1438,5000.0
23,r0,r3,r4,r6,0.3378,0.3234,0.3388,5000.0
24,r1,r3,r4,r6,0.3412,0.3194,0.3394,5000.0
25,r2,r3,r4,r6,0.3446,0.3218,0.3336,5000.0
26,r0,r1,r5,r6,0.906,0.05,0.044,5000.0
27,r0,r2,r5,r6,0.7244,0.1372,0.1384,5000.0
28,r1,r2,r5,r6,0.7306,0.1304,0.139,5000.0
29,r0,r3,r5,r6,0.3488,0.3266,0.3246,5000.0
30,r1,r3,r5,r6,0.3534,0.3206,0.326,5000.0
31,r2,r3,r5,r6,0.354,0.3194,0.3266,5000.0
32,r0,r4,r5,r6,0.3358,0.3168,0.3474,5000.0
33,r1,r4,r5,r6,0.3372,0.3122,0.3506,5000.0
34,r2,r4,r5,r6,0.3422,0.308,0.3498,5000.0
35,r3,r4,r5,r6,0.3454,0.322,0.3326,5000.0
36,r0,r1,r2,r7,0.7202,0.1352,0.1446,5000.0
37,r0,r1,r3,r7,0.8988,0.0482,0.053,5000.0
38,r0,r2,r3,r7,0.708,0.1432,0.1488,5000.0
39,r1,r2,r3,r7,0.7142,0.1416,0.1442,5000.0
40,r0,r1,r4,r7,0.904,0.0514,0.0446,5000.0
41,r0,r2,r4,r7,0.7234,0.1336,0.143,5000.0
42,r1,r2,r4,r7,0.7284,0.1272,0.1444,5000.0
43,r0,r3,r4,r7,0.3448,0.316,0.3392,5000.0
44,r1,r3,r4,r7,0.349,0.3104,0.3406,5000.0
45,r2,r3,r4,r7,0.3496,0.3132,0.3372,5000.0
46,r0,r1,r5,r7,0.9042,0.0508,0.045,5000.0
47,r0,r2,r5,r7,0.7266,0.1342,0.1392,5000.0
48,r1,r2,r5,r7,0.729,0.1304,0.1406,5000.0
49,r0,r3,r5,r7,0.3558,0.3192,0.325,5000.0
50,r1,r3,r5,r7,0.3606,0.3126,0.3268,5000.0
51,r2,r3,r5,r7,0.3592,0.3114,0.3294,5000.0
52,r0,r4,r5,r7,0.3336,0.3218,0.3446,5000.0
53,r1,r4,r5,r7,0.334,0.3172,0.3488,5000.0
54,r2,r4,r5,r7,0.3374,0.3162,0.3464,5000.0
55,r3,r4,r5,r7,0.3492,0.3246,0.3262,5000.0
56,r0,r1,r6,r7,0.9568,0.0216,0.0216,5000.0
57,r0,r2,r6,r7,0.8766,0.0598,0.0636,5000.0
58,r1,r2,r6,r7,0.8756,0.0604,0.064,5000.0
59,r0,r3,r6,r7,0.7016,0.1446,0.1538,5000.0
60,r1,r3,r6,r7,0.702,0.145,0.153,5000.0
61,r2,r3,r6,r7,0.7048,0.14,0.1552,5000.0
62,r0,r4,r6,r7,0.6868,0.1614,0.1518,5000.0
63,r1,r4,r6,r7,0.6848,0.16,0.1552,5000.0
64,r2,r4,r6,r7,0.6934,0.154,0.1526,5000.0
65,r3,r4,r6,r7,0.69,0.1566,0.1534,5000.0
66,r0,r5,r6,r7,0.6772,0.1626,0.1602,5000.0
67,r1,r5,r6,r7,0.6742,0.1634,0.1624,5000.0
68,r2,r5,r6,r7,0.6782,0.16,0.1618,5000.0
69,r3,r5,r6,r7,0.6724,0.1696,0.158,5000.0
70,r4,r5,r6,r7,0.6806,0.1576,0.1618,5000.0
