qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.5358,0.2246,0.2396,5000.0
2,r0,r1,r2,r4,0.516,0.2368,0.2472,5000.0
3,r0,r1,r3,r4,0.521,0.2398,0.2392,5000.0
4,r0,r2,r3,r4,0.327,0.323,0.35,5000.0
5,r1,r2,r3,r4,0.3298,0.3176,0.3526,5000.0
6,r0,r1,r2,r5,0.5262,0.2314,0.2424,5000.0
7,r0,r1,r3,r5,0.5178,0.2428,0.2394,5000.0
8,r0,r2,r3,r5,0.323,0.328,0.349,5000.0
9,r1,r2,r3,r5,0.328,0.3264,0.3456,5000.0
10,r0,r1,r4,r5,0.6702,0.1654,0.1644,5000.0
11,r0,r2,r4,r5,0.5338,0.2344,0.2318,5000.0
12,r1,r2,r4,r5,0.535,0.2294,0.2356,5000.0
13,r0,r3,r4,r5,0.544,0.2218,0.2342,5000.0
14,r1,r3,r4,r5,0.5408,0.2222,0.237,5000.0
15,r2,r3,r4,r5,0.5484,0.2186,0.233,5000.0
16,r0,r1,r2,r6,0.5216,0.2398,0.2386,5000.0
17,r0,r1,r3,r6,0.5176,0.247,0.2354,5000.0
18,r0,r2,r3,r6,0.3258,0.3294,0.3448,5000.0
19,r1,r2,r3,r6,0.3308,0.3184,0.3508,5000.0
20,r0,r1,r4,r6,0.5342,0.2358,0.23,5000.0
21,r0,r2,r4,r6,0.3536,0.3308,0.3156,5000.0
22,r1,r2,r4,r6,0.3618,0.3212,0.317,5000.0
23,r0,r3,r4,r6,0.3534,0.3238,0.3228,5000.0
24,r1,r3,r4,r6,0.3504,0.3204,0.3292,5000.0
25,r2,r3,r4,r6,0.3692,0.309,0.3218,5000.0
26,r0,r1,r5,r6,0.534,0.239,0.227,5000.0
27,r0,r2,r5,r6,0.3522,0.331,0.3168,5000.0
28,r1,r2,r5,r6,0.3628,0.321,0.3162,5000.0
29,r0,r3,r5,r6,0.3562,0.3254,0.3184,5000.0
30,r1,r3,r5,r6,0.354,0.3234,0.3226,5000.0
31,r2,r3,r5,r6,0.3702,0.3144,0.3154,5000.0
32,r0,r4,r5,r6,0.2434,0.2338,0.5228,5000.0
33,r1,r4,r5,r6,0.2408,0.239,0.5202,5000.0
34,r2,r4,r5,r6,0.2398,0.2402,0.52,5000.0
35,r3,r4,r5,r6,0.2404,0.234,0.5256,5000.0
36,r0,r1,r2,r7,0.52,0.2384,0.2416,5000.0
37,r0,r1,r3,r7,0.5164,0.2432,0.2404,5000.0
38,r0,r2,r3,r7,0.3256,0.3194,0.355,5000.0
39,r1,r2,r3,r7,0.3226,0.3206,0.3568,5000.0
40,r0,r1,r4,r7,0.536,0.2322,0.2318,5000.0
41,r0,r2,r4,r7,0.3582,0.3196,0.3222,5000.0
42,r1,r2,r4,r7,0.3604,0.3198,0.3198,5000.0
43,r0,r3,r4,r7,0.357,0.3146,0.3284,5000.0
44,r1,r3,r4,r7,0.3576,0.3134,0.329,5000.0
45,r2,r3,r4,r7,0.3726,0.3092,0.3182,5000.0
46,r0,r1,r5,r7,0.5416,0.227,0.2314,5000.0
47,r0,r2,r5,r7,0.3618,0.3178,0.3204,5000.0
48,r1,r2,r5,r7,0.362,0.3148,0.3232,5000.0
49,r0,r3,r5,r7,0.36,0.3156,0.3244,5000.0
50,r1,r3,r5,r7,0.3628,0.3152,0.322,5000.0
51,r2,r3,r5,r7,0.3744,0.3132,0.3124,5000.0
52,r0,r4,r5,r7,0.2348,0.2334,0.5318,5000.0
53,r1,r4,r5,r7,0.2356,0.237,0.5274,5000.0
54,r2,r4,r5,r7,0.2394,0.24,0.5206,5000.0
55,r3,r4,r5,r7,0.2384,0.2356,0.526,5000.0
56,r0,r1,r6,r7,0.5526,0.2238,0.2236,5000.0
57,r0,r2,r6,r7,0.3784,0.3078,0.3138,5000.0
58,r1,r2,r6,r7,0.3694,0.3118,0.3188,5000.0
59,r0,r3,r6,r7,0.3816,0.3076,0.3108,5000.0
60,r1,r3,r6,r7,0.3748,0.308,0.3172,5000.0
61,r2,r3,r6,r7,0.3912,0.3074,0.3014,5000.0
62,r0,r4,r6,r7,0.351,0.3316,0.3174,5000.0
63,r1,r4,r6,r7,0.342,0.3378,0.3202,5000.0
64,r2,r4,r6,r7,0.3448,0.3312,0.324,5000.0
65,r3,r4,r6,r7,0.3536,0.3296,0.3168,5000.0
66,r0,r5,r6,r7,0.3518,0.3264,0.3218,5000.0
67,r1,r5,r6,r7,0.3446,0.3322,0.3232,5000.0
68,r2,r5,r6,r7,0.3508,0.3296,0.3196,5000.0
69,r3,r5,r6,r7,0.3524,0.333,0.3146,5000.0
70,r4,r5,r6,r7,0.54,0.231,0.229,5000.0
