qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.5254,0.2304,0.2442,5000.0
2,r0,r1,r2,r4,0.5168,0.2522,0.231,5000.0
3,r0,r1,r3,r4,0.5236,0.2512,0.2252,5000.0
4,r0,r2,r3,r4,0.3298,0.329,0.3412,5000.0
5,r1,r2,r3,r4,0.322,0.3206,0.3574,5000.0
6,r0,r1,r2,r5,0.5152,0.2496,0.2352,5000.0
7,r0,r1,r3,r5,0.517,0.248,0.235,5000.0
8,r0,r2,r3,r5,0.3352,0.3204,0.3444,5000.0
9,r1,r2,r3,r5,0.3324,0.318,0.3496,5000.0
10,r0,r1,r4,r5,0.668,0.1598,0.1722,5000.0
11,r0,r2,r4,r5,0.5426,0.2308,0.2266,5000.0
12,r1,r2,r4,r5,0.5236,0.241,0.2354,5000.0
13,r0,r3,r4,r5,0.5414,0.2316,0.227,5000.0
14,r1,r3,r4,r5,0.5322,0.2416,0.2262,5000.0
15,r2,r3,r4,r5,0.5458,0.2322,0.222,5000.0
16,r0,r1,r2,r6,0.5118,0.2408,0.2474,5000.0
17,r0,r1,r3,r6,0.5116,0.2468,0.2416,5000.0
18,r0,r2,r3,r6,0.3268,0.3224,0.3508,5000.0
19,r1,r2,r3,r6,0.3288,0.32,0.3512,5000.0
20,r0,r1,r4,r6,0.5308,0.2248,0.2444,5000.0
21,r0,r2,r4,r6,0.3582,0.3102,0.3316,5000.0
22,r1,r2,r4,r6,0.3466,0.3308,0.3226,5000.0
23,r0,r3,r4,r6,0.3532,0.3172,0.3296,5000.0
24,r1,r3,r4,r6,0.3488,0.3302,0.321,5000.0
25,r2,r3,r4,r6,0.3728,0.3184,0.3088,5000.0
26,r0,r1,r5,r6,0.532,0.2284,0.2396,5000.0
27,r0,r2,r5,r6,0.3634,0.3098,0.3268,5000.0
28,r1,r2,r5,r6,0.3514,0.328,0.3206,5000.0
29,r0,r3,r5,r6,0.355,0.315,0.33,5000.0
30,r1,r3,r5,r6,0.3472,0.3224,0.3304,5000.0
31,r2,r3,r5,r6,0.3672,0.3146,0.3182,5000.0
32,r0,r4,r5,r6,0.2386,0.2326,0.5288,5000.0
33,r1,r4,r5,r6,0.2498,0.2356,0.5146,5000.0
34,r2,r4,r5,r6,0.2398,0.2436,0.5166,5000.0
35,r3,r4,r5,r6,0.2336,0.2476,0.5188,5000.0
36,r0,r1,r2,r7,0.5168,0.2358,0.2474,5000.0
37,r0,r1,r3,r7,0.5208,0.2406,0.2386,5000.0
38,r0,r2,r3,r7,0.3278,0.3242,0.348,5000.0
39,r1,r2,r3,r7,0.3306,0.3244,0.345,5000.0
40,r0,r1,r4,r7,0.531,0.2196,0.2494,5000.0
41,r0,r2,r4,r7,0.3592,0.3122,0.3286,5000.0
42,r1,r2,r4,r7,0.3546,0.3274,0.318,5000.0
43,r0,r3,r4,r7,0.3572,0.3162,0.3266,5000.0
44,r1,r3,r4,r7,0.3478,0.3328,0.3194,5000.0
45,r2,r3,r4,r7,0.374,0.3198,0.3062,5000.0
46,r0,r1,r5,r7,0.5298,0.2236,0.2466,5000.0
47,r0,r2,r5,r7,0.3586,0.3156,0.3258,5000.0
48,r1,r2,r5,r7,0.3552,0.3254,0.3194,5000.0
49,r0,r3,r5,r7,0.349,0.3178,0.3332,5000.0
50,r1,r3,r5,r7,0.346,0.328,0.326,5000.0
51,r2,r3,r5,r7,0.3648,0.3172,0.318,5000.0
52,r0,r4,r5,r7,0.2278,0.2444,0.5278,5000.0
53,r1,r4,r5,r7,0.2388,0.2432,0.518,5000.0
54,r2,r4,r5,r7,0.2348,0.2456,0.5196,5000.0
55,r3,r4,r5,r7,0.2294,0.2456,0.525,5000.0
56,r0,r1,r6,r7,0.5362,0.2294,0.2344,5000.0
57,r0,r2,r6,r7,0.3582,0.3276,0.3142,5000.0
58,r1,r2,r6,r7,0.3612,0.3282,0.3106,5000.0
59,r0,r3,r6,r7,0.3534,0.3262,0.3204,5000.0
60,r1,r3,r6,r7,0.3548,0.333,0.3122,5000.0
61,r2,r3,r6,r7,0.377,0.313,0.31,5000.0
62,r0,r4,r6,r7,0.3344,0.3432,0.3224,5000.0
63,r1,r4,r6,r7,0.349,0.33,0.321,5000.0
64,r2,r4,r6,r7,0.3418,0.3248,0.3334,5000.0
65,r3,r4,r6,r7,0.338,0.3272,0.3348,5000.0
66,r0,r5,r6,r7,0.34,0.3252,0.3348,5000.0
67,r1,r5,r6,r7,0.3458,0.3228,0.3314,5000.0
68,r2,r5,r6,r7,0.34,0.3228,0.3372,5000.0
69,r3,r5,r6,r7,0.3416,0.324,0.3344,5000.0
70,r4,r5,r6,r7,0.5286,0.2326,0.2388,5000.0
