qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.5254,0.2458,0.2288,5000.0
2,r0,r1,r2,r4,0.5156,0.2534,0.231,5000.0
3,r0,r1,r3,r4,0.5178,0.2372,0.245,5000.0
4,r0,r2,r3,r4,0.339,0.3132,0.3478,5000.0
5,r1,r2,r3,r4,0.326,0.329,0.345,5000.0
6,r0,r1,r2,r5,0.5196,0.2466,0.2338,5000.0
7,r0,r1,r3,r5,0.5168,0.2344,0.2488,5000.0
8,r0,r2,r3,r5,0.3406,0.3184,0.341,5000.0
9,r1,r2,r3,r5,0.3256,0.3358,0.3386,5000.0
10,r0,r1,r4,r5,0.6692,0.1612,0.1696,5000.0
11,r0,r2,r4,r5,0.5432,0.2352,0.2216,5000.0
12,r1,r2,r4,r5,0.5346,0.2386,0.2268,5000.0
13,r0,r3,r4,r5,0.5408,0.2286,0.2306,5000.0
14,r1,r3,r4,r5,0.5438,0.2298,0.2264,5000.0
15,r2,r3,r4,r5,0.5538,0.2174,0.2288,5000.0
16,r0,r1,r2,r6,0.5114,0.2532,0.2354,5000.0
17,r0,r1,r3,r6,0.5174,0.2382,0.2444,5000.0
18,r0,r2,r3,r6,0.3316,0.3176,0.3508,5000.0
19,r1,r2,r3,r6,0.328,0.3268,0.3452,5000.0
20,r0,r1,r4,r6,0.5402,0.2254,0.2344,5000.0
21,r0,r2,r4,r6,0.3542,0.3216,0.3242,5000.0
22,r1,r2,r4,r6,0.3456,0.3248,0.3296,5000.0
23,r0,r3,r4,r6,0.3474,0.3276,0.325,5000.0
24,r1,r3,r4,r6,0.3544,0.3252,0.3204,5000.0
25,r2,r3,r4,r6,0.363,0.3248,0.3122,5000.0
26,r0,r1,r5,r6,0.5352,0.2338,0.231,5000.0
27,r0,r2,r5,r6,0.356,0.3144,0.3296,5000.0
28,r1,r2,r5,r6,0.3466,0.319,0.3344,5000.0
29,r0,r3,r5,r6,0.3562,0.3224,0.3214,5000.0
30,r1,r3,r5,r6,0.3662,0.318,0.3158,5000.0
31,r2,r3,r5,r6,0.3622,0.331,0.3068,5000.0
32,r0,r4,r5,r6,0.2368,0.234,0.5292,5000.0
33,r1,r4,r5,r6,0.2418,0.2304,0.5278,5000.0
34,r2,r4,r5,r6,0.236,0.2444,0.5196,5000.0
35,r3,r4,r5,r6,0.2358,0.2348,0.5294,5000.0
36,r0,r1,r2,r7,0.5252,0.2356,0.2392,5000.0
37,r0,r1,r3,r7,0.5312,0.2262,0.2426,5000.0
38,r0,r2,r3,r7,0.342,0.3248,0.3332,5000.0
39,r1,r2,r3,r7,0.3308,0.3352,0.334,5000.0
40,r0,r1,r4,r7,0.5402,0.2242,0.2356,5000.0
41,r0,r2,r4,r7,0.36,0.3236,0.3164,5000.0
42,r1,r2,r4,r7,0.3524,0.3324,0.3152,5000.0
43,r0,r3,r4,r7,0.352,0.3302,0.3178,5000.0
44,r1,r3,r4,r7,0.3636,0.3324,0.304,5000.0
45,r2,r3,r4,r7,0.3662,0.3206,0.3132,5000.0
46,r0,r1,r5,r7,0.5394,0.2258,0.2348,5000.0
47,r0,r2,r5,r7,0.3512,0.322,0.3268,5000.0
48,r1,r2,r5,r7,0.3442,0.326,0.3298,5000.0
49,r0,r3,r5,r7,0.3554,0.3244,0.3202,5000.0
50,r1,r3,r5,r7,0.3618,0.3262,0.312,5000.0
51,r2,r3,r5,r7,0.3514,0.3314,0.3172,5000.0
52,r0,r4,r5,r7,0.2362,0.2424,0.5214,5000.0
53,r1,r4,r5,r7,0.2404,0.2436,0.516,5000.0
54,r2,r4,r5,r7,0.228,0.2532,0.5188,5000.0
55,r3,r4,r5,r7,0.2262,0.245,0.5288,5000.0
56,r0,r1,r6,r7,0.5428,0.2252,0.232,5000.0
57,r0,r2,r6,r7,0.3644,0.3184,0.3172,5000.0
58,r1,r2,r6,r7,0.3624,0.3268,0.3108,5000.0
59,r0,r3,r6,r7,0.3536,0.3316,0.3148,5000.0
60,r1,r3,r6,r7,0.374,0.3224,0.3036,5000.0
61,r2,r3,r6,r7,0.3656,0.3158,0.3186,5000.0
62,r0,r4,r6,r7,0.333,0.3378,0.3292,5000.0
63,r1,r4,r6,r7,0.3448,0.3344,0.3208,5000.0
64,r2,r4,r6,r7,0.3352,0.3374,0.3274,5000.0
65,r3,r4,r6,r7,0.3322,0.3356,0.3322,5000.0
66,r0,r5,r6,r7,0.3322,0.3336,0.3342,5000.0
67,r1,r5,r6,r7,0.3388,0.3308,0.3304,5000.0
68,r2,r5,r6,r7,0.351,0.324,0.325,5000.0
69,r3,r5,r6,r7,0.3374,0.3272,0.3354,5000.0
70,r4,r5,r6,r7,0.529,0.2282,0.2428,5000.0
